id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
63SevszngYpZOwf63o61K,Nevermind,Dennis Lloyd,0.592,0.691,3.0,-8.354,1.0,0.196,0.156,9.78e-06,0.418,0.0796,99.976,156600.0,4.0
2hl6q70unbviGo3g1R7uF,?chame La Culpa,Luis Fonsi,0.726,0.889,0.0,-3.655,1.0,0.0429,0.0328,0.0,0.0925,0.649,96.024,173720.0,4.0
0d2iYfpKoM0QCKvcLCkBa,Eastside (with Halsey & Khalid),benny blanco,0.56,0.68,6.0,-7.648,0.0,0.321,0.555,0.0,0.116,0.319,89.391,173800.0,4.0
4eWQlBRaTjPPUlzacqEeo,Never Be the Same,Camila Cabello,0.637,0.713,0.0,-4.333,1.0,0.0747,0.181,0.000637,0.137,0.243,129.923,226973.0,4.0
0tBbt8CrmxbjRP0pueQky,Wolves,Selena Gomez,0.72,0.807,11.0,-4.59,0.0,0.0432,0.129,0.0,0.183,0.305,124.946,197993.0,4.0
7AFASza1mXqntmGtbxXpr,changes,XXXTENTACION,0.669,0.308,11.0,-10.068,1.0,0.029,0.883,0.0,0.0984,0.52,64.934,121887.0,4.0
0E9ZjEAyAwOXZ7wJC0PD3,In My Mind,Dynoro,0.694,0.77,6.0,-5.335,1.0,0.149,0.176,1.1e-05,0.118,0.163,125.905,184560.0,4.0
1cS0TgbR263ey9jn0MwD2,River (feat. Ed Sheeran),Eminem,0.748,0.749,8.0,-5.916,0.0,0.516,0.142,0.0,0.0713,0.659,90.09,221013.0,4.0
6KuqAtoeVzxAYOaMveLNp,Dura,Daddy Yankee,0.791,0.848,1.0,-3.456,1.0,0.0506,0.183,0.0,0.409,0.828,95.0,200480.0,4.0
2xLMifQCjDGFmkHkpNLD9,SICKO MODE,Travis Scott,0.834,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.008,312820.0,4.0
1zB4vmk8tFRmM9UULNzbL,Thunder,Imagine Dragons,0.605,0.822,0.0,-4.833,1.0,0.0438,0.00671,0.134,0.147,0.288,167.997,187147.0,4.0
6jA8JUuPCGYjFcgw0AoM5,Me Niego,Reik,0.777,0.779,0.0,-4.449,0.0,0.0972,0.0543,0.0,0.636,0.768,94.023,221653.0,4.0
4kWO6O1BUXcZmaxitpVUw,Jackie Chan,Ti?sto,0.747,0.834,3.0,-2.867,0.0,0.045,0.374,0.0,0.0586,0.687,128.005,215760.0,4.0
3Vo4wInECJQuz9BIBMOu8,Finesse (Remix) [feat. Cardi B],Bruno Mars,0.704,0.859,5.0,-4.877,0.0,0.0996,0.0185,0.0,0.0215,0.926,105.115,217289.0,4.0
4hQ6UGyWQIGJmHSo0J88J,Back To You - From 13 Reasons Why ? Season 2 Soundtrack,Selena Gomez,0.601,0.724,6.0,-4.856,1.0,0.0486,0.0945,1.68e-06,0.12,0.508,102.061,207905.0,4.0
52okn5MNA47tk87PeZJLE,Let You Down,NF,0.656,0.721,5.0,-5.665,0.0,0.122,0.298,0.0,0.173,0.468,148.066,212120.0,4.0
1gm616Plq4ScqNi7TVkZ5,Call Out My Name,The Weeknd,0.489,0.598,1.0,-4.929,1.0,0.036,0.218,0.0,0.35,0.172,134.045,228373.0,3.0
7sO5G9EABYOXQKNPNiE9N,Ric Flair Drip (& Metro Boomin),Offset,0.88,0.428,9.0,-8.28,1.0,0.206,0.149,5.07e-05,0.114,0.333,100.007,172800.0,4.0
2dpaYNEQHiRxtZbfNsse9,Happier,Marshmello,0.687,0.792,5.0,-2.749,1.0,0.0452,0.191,0.0,0.167,0.671,100.015,214290.0,4.0
1mXVgsBdtIVeCLJnSnmtd,Too Good At Goodbyes,Sam Smith,0.698,0.375,5.0,-8.279,1.0,0.0491,0.652,0.0,0.173,0.534,91.92,201000.0,4.0
10Igtw8bSDyyFs7KIsKng,Freaky Friday (feat. Chris Brown),Lil Dicky,0.755,0.599,8.0,-5.042,1.0,0.224,0.147,0.0,0.109,0.755,133.123,216632.0,4.0
0pqnGHJpmpxLKifKRmU6W,Believer,Imagine Dragons,0.776,0.78,10.0,-4.374,0.0,0.128,0.0622,0.0,0.081,0.666,124.949,204347.0,4.0
2E124GmJRnBJuXbTb4cPU,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,0.931,0.387,1.0,-9.127,1.0,0.412,0.088,0.0,0.136,0.376,125.978,179405.0,4.0
3KLygy1YWhmrQx0GRs7IO,Rise,Jonas Blue,0.687,0.785,1.0,-4.65,1.0,0.0333,0.327,0.0,0.203,0.655,106.046,194408.0,4.0
7K7MUBCnzgBAvMVW2RTWN,Body (feat. brando),Loud Luxury,0.752,0.764,1.0,-4.399,1.0,0.038,0.0476,9.44e-05,0.0543,0.582,121.958,163216.0,4.0
7GX5flRQZVHRAGd6B4TmD,XO TOUR Llif3,Lil Uzi Vert,0.732,0.75,11.0,-6.366,0.0,0.231,0.00264,0.0,0.109,0.401,155.096,182707.0,4.0
2ijef6ni2amuunRoKTlgw,Sin Pijama,Becky G,0.791,0.745,11.0,-3.695,0.0,0.0464,0.354,2.93e-05,0.104,0.82,94.014,188560.0,4.0
2BgEsaKNfHUdlh97KmvFy,2002,Anne-Marie,0.697,0.683,1.0,-2.881,0.0,0.117,0.0372,0.0,0.137,0.603,96.133,186987.0,4.0
0TlLq3lA83rQOYtrqBqSc,Nonstop,Drake,0.912,0.412,7.0,-8.074,1.0,0.124,0.0164,0.013,0.104,0.422,154.983,238614.0,4.0
7AQim7LbvFVZJE3O8TYgf,Fuck Love (feat. Trippie Redd),XXXTENTACION,0.797,0.533,0.0,-9.74,0.0,0.0412,0.0172,0.000152,0.103,0.329,131.036,146520.0,4.0
2QZ7WLBE8h2y1Y5Fb8RYb,In My Blood,Shawn Mendes,0.622,0.712,5.0,-7.321,1.0,0.066,0.0573,0.0,0.13,0.487,140.025,211360.0,4.0
7vGuf3Y35N4wmASOKLUVV,Silence,Marshmello,0.52,0.761,4.0,-3.093,1.0,0.0853,0.256,4.96e-06,0.17,0.286,141.971,180823.0,4.0
5OCJzvD7sykQEKHH7qAC3,God is a woman,Ariana Grande,0.602,0.658,1.0,-5.934,1.0,0.0558,0.0233,6e-05,0.237,0.268,145.031,197547.0,4.0
1j6xOGusnyXq3l6IryKF3,D?jala que vuelva (feat. Manuel Turizo),Piso 21,0.681,0.788,1.0,-4.323,1.0,0.0785,0.0482,0.0,0.0753,0.839,170.019,220117.0,4.0
66BjcDhhwWCcQIBxHMpKX,Flames,David Guetta,0.631,0.649,5.0,-5.892,0.0,0.0385,0.0817,3.8e-06,0.0934,0.421,93.95,194680.0,4.0
0WdGQhoAP2LBsqr5Jhit2,What Lovers Do,Maroon 5,0.799,0.597,5.0,-5.131,0.0,0.0611,0.0788,5.66e-06,0.1,0.419,110.001,199849.0,4.0
4w8niZpiMy6qz1mntFA5u,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,0.841,0.798,1.0,-4.206,0.0,0.229,0.153,3.33e-06,0.0618,0.591,95.948,212500.0,4.0
5Gu0PDLN4YJeW75PpBSg9,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,0.663,0.708,8.0,-4.154,1.0,0.0473,0.0337,0.0,0.0841,0.742,103.073,174800.0,4.0
6QgjcU0zLnzq5OrUoSZ3O,Feel It Still,Portugal. The Man,0.801,0.795,1.0,-5.115,0.0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,163253.0,4.0
77UjLW8j5UAGAGVGhR5oU,Pray For Me (with Kendrick Lamar),The Weeknd,0.735,0.677,2.0,-4.979,1.0,0.093,0.0762,2.17e-05,0.111,0.188,100.584,211440.0,4.0
6n4U3TlzUGhdSFbUUhTvL,Walk It Talk It,Migos,0.909,0.628,2.0,-5.456,1.0,0.201,0.0739,0.0,0.108,0.406,145.905,276147.0,4.0
5k38wzpLb15YgncyWdTZE,Him & I (with Halsey),G-Eazy,0.589,0.731,2.0,-6.343,1.0,0.0868,0.0534,0.0,0.308,0.191,87.908,268867.0,4.0
32lItqlMi4LBhb4k0BaSa,Candy Paint,Post Malone,0.67,0.654,4.0,-5.944,1.0,0.153,0.627,1.02e-06,0.071,0.438,180.024,227533.0,4.0
3a1lNhkSLSkpJE4MSHpDu,Congratulations,Post Malone,0.63,0.804,6.0,-4.183,1.0,0.0363,0.215,0.0,0.253,0.492,123.146,220293.0,4.0
4QtiVmuA88tPQiCOHZuQ5,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,0.792,0.895,1.0,-3.112,0.0,0.0589,0.165,0.0,0.0501,0.794,94.968,201526.0,4.0
6Za3190Sbw39BBC77WSS1,Criminal,Natti Natasha,0.814,0.813,2.0,-3.023,0.0,0.0561,0.03,9.33e-05,0.255,0.839,79.997,232550.0,4.0
1ZAyjvIk9YiD76yYy0TEG,Plug Walk,Rich The Kid,0.876,0.519,11.0,-6.531,1.0,0.143,0.202,0.0,0.108,0.158,94.981,175230.0,4.0
0u2P5u6lvoDfwTYjAADbn,lovely (with Khalid),Billie Eilish,0.351,0.296,4.0,-10.109,0.0,0.0333,0.934,0.0,0.095,0.12,115.284,200186.0,4.0
2UVbBKQOdFAekPTRsnkzc,Stir Fry,Migos,0.815,0.816,2.0,-5.474,1.0,0.269,0.00299,0.0,0.159,0.498,181.967,190288.0,4.0
7KXjTSCq5nL1LoYtL7XAw,HUMBLE.,Kendrick Lamar,0.908,0.621,1.0,-6.638,0.0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,177000.0,4.0
48zFZh27QU5qsrBjn4C2F,Vaina Loca,Ozuna,0.754,0.805,6.0,-4.249,1.0,0.0752,0.315,0.0,0.203,0.555,93.983,176133.0,4.0
1bhUWB0zJMIKr9yVPrkEu,Perfect Duet (Ed Sheeran & Beyonc?),Ed Sheeran,0.587,0.299,8.0,-7.365,1.0,0.0263,0.779,0.0,0.123,0.356,94.992,259550.0,3.0
5cepAtqnEQ6yVG6088zMM,Coraz?n (feat. Nego do Borel),Maluma,0.722,0.738,9.0,-6.073,0.0,0.247,0.328,1.47e-05,0.198,0.748,198.075,184720.0,4.0
5Z3GHaZ6ec9bsiI5Benrb,Young Dumb & Broke,Khalid,0.798,0.539,1.0,-6.351,1.0,0.0421,0.199,1.66e-05,0.165,0.394,136.949,202547.0,4.0
5Y9fnynLlIvqtM710MHzf,S?guelo Bailando,Ozuna,0.855,0.664,9.0,-7.11,0.0,0.0607,0.165,3.97e-05,0.0937,0.626,98.015,226800.0,4.0
3Ga6eKrUFf12ouh9Yw3v2,Downtown,Anitta,0.775,0.679,4.0,-4.985,0.0,0.135,0.18,7.26e-05,0.068,0.619,166.008,193456.0,4.0
3xcCix7Jv1Rp90YVmgo35,Bella,Wolfine,0.909,0.493,3.0,-6.688,1.0,0.0735,0.128,0.000147,0.127,0.844,94.016,197120.0,4.0
5N5k9nd479b1xpDZ4usjr,Promises (with Sam Smith),Calvin Harris,0.781,0.768,11.0,-5.991,1.0,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,213309.0,4.0
6vN77lE9LK6HP2DewaN6H,Yes Indeed,Lil Baby,0.964,0.346,5.0,-9.309,0.0,0.53,0.035,0.0,0.108,0.562,119.958,142273.0,4.0
2P91MQbaiQOfbiz9VqhqK,I Like Me Better,Lauv,0.752,0.505,9.0,-7.621,1.0,0.253,0.535,2.55e-06,0.104,0.419,91.97,197437.0,4.0
2xGjteMU3E1tkEPVFBO08,This Is Me,Keala Settle,0.284,0.704,2.0,-7.276,1.0,0.186,0.00583,0.000115,0.0424,0.1,191.702,234707.0,4.0
3GVkPk8mqxz0itaAriG1L,Everybody Dies In Their Nightmares,XXXTENTACION,0.734,0.57,7.0,-7.066,0.0,0.133,0.847,2.14e-05,0.112,0.689,129.953,95467.0,4.0
630sXRhIcfwr2e4RdNtjK,Rewrite The Stars,Zac Efron,0.684,0.619,10.0,-7.005,1.0,0.0386,0.0716,0.0,0.122,0.284,125.046,217440.0,4.0
2xmrfQpmS2iJExTlklLoA,I Miss You (feat. Julia Michaels),Clean Bandit,0.638,0.658,3.0,-6.318,1.0,0.0456,0.245,3.77e-06,0.0919,0.33,105.076,205748.0,4.0
5WvAo7DNuPRmk4APhdPzi,No Brainer,DJ Khaled,0.552,0.76,0.0,-4.706,1.0,0.342,0.0733,0.0,0.0865,0.639,135.702,260000.0,5.0
1j4kHkkpqZRBwE0A4CN4Y,Dusk Till Dawn - Radio Edit,ZAYN,0.258,0.437,11.0,-6.593,0.0,0.039,0.101,1.27e-06,0.106,0.0967,180.043,239000.0,4.0
3EPXxR3ImUwfayaurPi3c,Be Alright,Dean Lewis,0.553,0.586,11.0,-6.319,1.0,0.0362,0.697,0.0,0.0813,0.443,126.684,196373.0,4.0
