Pharmacy-Name,Phone,Credential,Location,Address,City,State,Zip,CredentialId,Zip Code,Counties,Planning Regions,Town Index
WALGREENS #17537,(860) 528-6115,PCY.0001163,"329 ELLINGTON RD
CT 06108-1141
(41.79667, -72.620379)",329 ELLINGTON RD,EAST HARTFORD,CT,06108-1141,249882,119,1041,1,43
WALGREENS #17500,(860) 963-7230,PCY.0001107,"203 KENNEDY DR
CT 06260-1628
(41.918985, -71.908505)",203 KENNEDY DR,PUTNAM,CT,06260-1628,38006,39,39,5,116
WALGREENS #17224,(860) 267-0732,PCY.0001201,"25 E HIGH ST
CT 06424-1087
(41.583746, -72.502511)",25 E HIGH ST STE 8,EAST HAMPTON,CT,06424-1087,38223,273,1043,3,42
WALGREENS #17216,(860) 537-9034,PCY.0001453,"27 BROADWAY ST
CT 06415-1001
(41.576574, -72.333181)",27 BROADWAY ST,COLCHESTER,CT,06415-1001,38902,235,1045,8,28
WALGREENS # 16549,,PCY.0002346,"ONE HOSPITAL PLAZA
CT 06902",ONE HOSPITAL PLAZA SUITE G 122,STAMFORD,CT,6902,1391632,,,,
WALGREENS #16080,(203) 336-3551,PCY.0001108,"414 KINGS HWY E
CT 06825-4846
(41.172435, -73.229209)",414 KINGS HWY E,FAIRFIELD,CT,06825-4846,38007,174,1040,2,51
WALGREENS #15590,(203) 792-2044,PCY.0001255,"95 LOCUST AVE
CT 06810-6148
(41.404723, -73.446913)",95 LOCUST AVE STE 100,DANBURY,CT,06810-6148,38433,1,1040,9,34
WALGREENS #15389,(860) 673-3219,PCY.0002245,"5 MILL ST
CT 06085-1019
(41.756672, -72.887014)",5 MILL ST,UNIONVILLE,CT,06085-1019,1081997,81,1041,1,52
WALGREENS #15207,(860) 523-5849,PCY.0001451,"668 FARMINGTON AVE
CT 06119-1810
(41.765558, -72.7168)",668 FARMINGTON AVE,WEST HARTFORD,CT,06119-1810,246442,251,1041,1,155
WALGREENS #13969,(203) 777-7809,PCY.0002192,"55 PARK ST
CT 06511-5474
(41.306688, -72.935185)",55 PARK ST STE 1A,NEW HAVEN,CT,06511-5474,953048,275,1044,7,93
WALGREENS #13947,(203) 777-7880,PCY.0002200,"1415 CHAPEL ST
CT 06511-4421
(41.310882, -72.942477)",1415 CHAPEL ST,NEW HAVEN,CT,06511-4421,981006,275,1044,7,93
WALGREENS #13945,(203) 777-7863,PCY.0002203,"800 HOWARD AVE
CT 06519-1369
(41.302786, -72.93611)",800 HOWARD AVE STE 197,NEW HAVEN,CT,06519-1369,981024,132,1044,7,93
WALGREENS #12338,(860) 704-0135,PCY.0002173,"311 E MAIN ST
CT 06457-4556
(41.548439, -72.639426)",311 E MAIN ST,MIDDLETOWN,CT,06457-4556,924322,236,1043,3,83
WALGREENS #12315,(203) 270-4658,PCY.0002209,"49 S MAIN ST
CT 06470-2141
(41.401473, -73.296936)",49 S MAIN ST,NEWTOWN,CT,06470-2141,987411,153,1040,9,97
WALGREENS #12120,(203) 468-9732,PCY.0002144,"157 MAIN ST
CT 06512-2525
(41.276136, -72.867521)",157 MAIN ST,EAST HAVEN,CT,06512-2525,536229,130,1044,7,44
WALGREENS #12058,(860) 774-0490,PCY.0002150,"1093 N MAIN ST
CT 06241-2124
(41.840903, -71.876621)",1093 N MAIN ST,DAYVILLE,CT,06241-2124,890582,35,39,5,69
WALGREENS #11919,(860) 742-5389,PCY.0002148,"1630 BOSTON TPKE
CT 06238-1205
(41.798323, -72.37128)",1630 BOSTON TPKE,COVENTRY,CT,06238-1205,894719,145,38,1,32
WALGREENS #11825,(860) 583-3638,PCY.0001251,"525 FARMINGTON AVE
CT 06010-3931
(41.689947, -72.926047)",525 FARMINGTON AVE,BRISTOL,CT,06010-3931,283354,219,1041,4,17
WALGREENS #11620,(203) 322-7669,PCY.0002159,"1203 HIGH RIDGE RD
CT 06905-1214
(41.110623, -73.546781)",1203 HIGH RIDGE RD,STAMFORD,CT,06905-1214,910823,84,1040,9,135
WALGREENS #11619,(203) 881-9999,PCY.0001402,"144 BANK ST
CT 06483-2721
(41.397543, -73.078608)",144 BANK ST,SEYMOUR,CT,06483-2721,38877,239,1044,4,124
WALGREENS #11605,(203) 924-7740,PCY.0001682,"73 CENTER ST
CT 06484-3243
(41.316164, -73.093967)",73 CENTER ST,SHELTON,CT,06484-3243,153281,217,1040,4,126
WALGREENS #11604,(860) 693-8329,PCY.0001805,"220 ALBANY TPKE
CT 06019-7068
(41.826975, -72.89881)",220 ALBANY TPKE,CANTON,CT,06019-7068,308663,80,1041,1,23
WALGREENS #11533,(860) 781-7073,PCY.0002157,"1312 MANCHESTER RD
CT 06033-1824
(41.713786, -72.526607)",1312 MANCHESTER RD,GLASTONBURY,CT,06033-1824,910135,90,1041,1,54
WALGREENS #11164,(203) 894-8744,PCY.0002136,"46A DANBURY RD
CT 06877-4019
(41.290613, -73.496708)",46A DANBURY RD,RIDGEFIELD,CT,06877-4019,525744,43,1040,9,118
WALGREENS #10647,(203) 265-6336,PCY.0001376,"284 S COLONY RD
CT 06492-4554
(41.451446, -72.827105)",284 S COLONY RD,WALLINGFORD,CT,06492-4554,38676,195,1044,7,148
WALGREENS #10483,(860) 440-3566,PCY.0001728,"698 BANK ST
CT 06320-5040
(41.349444, -72.104482)",698 BANK ST,NEW LONDON,CT,06320-5040,222256,144,1045,8,95
WALGREENS #10310,(203) 353-9117,PCY.0002120,"780 E MAIN ST
CT 06902-3832
(41.055272, -73.529015)",780 E MAIN ST,STAMFORD,CT,06902-3832,509530,7,1040,9,135
WALGREENS #10309,203-488-9059,PCY.0002100,"1036 W MAIN ST
CT 06405-3428
(41.275176, -72.832044)",1036 W MAIN ST,BRANFORD,CT,06405-3428,483286,170,1044,7,14
WALGREENS #10261,(860) 526-8052,PCY.0002113,"180 MAIN ST
CT 06417-2039
(41.384736, -72.435415)",180 MAIN ST,DEEP RIVER,CT,06417-2039,499988,272,1043,3,36
WALGREENS #10244,(860) 399-6899,PCY.0002107,"1211 BOSTON POST RD
CT 06498-1949
(41.285489, -72.447934)",1211 BOSTON POST RD,WESTBROOK,CT,06498-1949,491498,127,1043,3,154
WALGREENS #10203,(860) 585-7426,PCY.0002089,"25 MAIN ST
CT 06010-6528
(41.668631, -72.943206)",25 MAIN ST,BRISTOL,CT,06010-6528,467093,219,1041,4,17
WALGREENS #10177,(203) 299-1215,PCY.0002125,"54 WEST AVE
CT 06854-2225
(41.103787, -73.419825)",54 WEST AVE,NORWALK,CT,06854-2225,515615,155,1040,9,103
WALGREENS #10144,(860) 482-8837,PCY.0002088,"1745 E MAIN ST
CT 06790-3520
(41.820999, -73.082221)",1745 E MAIN ST,TORRINGTON,CT,06790-3520,467090,122,1042,6,143
WALGREENS #10119,(860) 828-6844,PCY.0001827,"980 FARMINGTON AVE
CT 06037-2219
(41.632161, -72.76199)",980 FARMINGTON AVE,BERLIN,CT,06037-2219,327763,253,1041,1,7
WALGREENS #10058,(203) 845-8767,PCY.0002114,"235 MAIN ST
CT 06851-2720
(41.130894, -73.423445)",235 MAIN ST,NORWALK,CT,06851-2720,501179,87,1040,9,103
WALGREENS #10003,(203) 634-3241,PCY.0002033,"134 STATE ST
CT 06450-3293
(41.540708, -72.798732)",134 STATE ST,MERIDEN,CT,06450-3293,427224,199,1044,7,80
WALGREENS #09821,(203) 801-0121,PCY.0000956,"36 PINE ST
CT 06840-5430
(41.144914, -73.496781)",36 PINE ST,NEW CANAAN,CT,06840-5430,504522,180,1040,9,90
WALGREENS #09820,(203) 238-0910,PCY.0002106,"825 E MAIN ST
CT 06450-6064
(41.528697, -72.776175)",825 E MAIN ST,MERIDEN,CT,06450-6064,491226,199,1044,7,80
WALGREENS #09818,(860) 613-2324,PCY.0002101,"4 HAMMERHEAD PL
CT 06416-1805
(41.601972, -72.681227)",4 HAMMERHEAD PL,CROMWELL,CT,06416-1805,483629,165,1043,3,33
WALGREENS #09785,(203) 777-8001,PCY.0001349,"436 WHALLEY AVE
CT 06511-3012
(41.31855, -72.947771)",436 WHALLEY AVE,NEW HAVEN,CT,06511-3012,38656,275,1044,7,93
WALGREENS #09784,(860) 289-4944,PCY.0001465,"20 CONNECTICUT BLVD
CT 06108-3007
(41.769426, -72.64476)",20 CONNECTICUT BLVD,EAST HARTFORD,CT,06108-3007,284403,119,1041,1,43
WALGREENS #09746,(860) 292-1751,PCY.0002127,"1 ELM ST
CT 06096-2334
(41.925058, -72.628301)",1 ELM ST,WINDSOR LOCKS,CT,06096-2334,517176,21,1041,1,165
WALGREENS #09612,(203) 225-0296,PCY.0002060,"700 BRIDGEPORT AVE
CT 06484-4734
(41.276547, -73.122473)",700 BRIDGEPORT AVE,SHELTON,CT,06484-4734,438884,217,1040,4,126
WALGREENS #09521,(203) 696-0127,PCY.0002059,"1000 PARK AVE
CT 06604-3406
(41.17502, -73.198574)",1000 PARK AVE,BRIDGEPORT,CT,06604-3406,438882,172,1040,2,15
WALGREENS #09432,(860) 253-0463,PCY.0002076,"2 SHAKER RD
CT 06082-3112
(42.001586, -72.56495)",2 SHAKER RD,ENFIELD,CT,06082-3112,450313,108,1041,1,49
WALGREENS #09101,(203) 288-5217,PCY.0002061,"2505 WHITNEY AVE
CT 06518-3019
(41.38805, -72.900186)",2505 WHITNEY AVE,HAMDEN,CT,06518-3019,438886,100,1044,7,62
WALGREENS #09071,(203) 239-4428,PCY.0001396,"49 WASHINGTON AVE
CT 06473-1704
(41.391222, -72.859454)",49 WASHINGTON AVE,NORTH HAVEN,CT,06473-1704,38872,168,1044,7,101
WALGREENS #07935,(203) 795-6001,PCY.0001073,"54 BOSTON POST RD
CT 06477-3201
(41.278531, -72.987199)",54 BOSTON POST RD,ORANGE,CT,06477-3201,246825,196,1044,7,107
WALGREENS #07814,(860) 664-4691,PCY.0001891,"218 E MAIN ST
CT 06413-2230
(41.272771, -72.507021)",218 E MAIN ST,CLINTON,CT,06413-2230,377850,271,1043,3,27
WALGREENS #07759,(860) 405-1919,PCY.0001900,"441 LONG HILL RD
CT 06340-4149
(41.3548, -72.060484)",441 LONG HILL RD,GROTON,CT,06340-4149,382793,243,1045,8,59
WALGREENS #07750,(860) 231-7665,PCY.0002011,"940 QUAKER LN S
CT 06110-1458
(41.733232, -72.731177)",940 QUAKER LN S,WEST HARTFORD,CT,06110-1458,414142,213,1041,1,155
WALGREENS #07641,(860) 621-3729,PCY.0001901,"359 MAIN ST
CT 06489-4538
(41.593975, -72.88042)",359 MAIN ST,SOUTHINGTON,CT,06489-4538,382800,176,1041,1,131
WALGREENS #07602,(203) 268-1216,PCY.0001874,"275 MONROE TPKE
CT 06468-2246
(41.303554, -73.223171)",275 MONROE TPKE,MONROE,CT,06468-2246,369191,3,1040,2,85
WALGREENS #07585,(860) 826-7272,PCY.0001427,"102 WASHINGTON ST
CT 06051-1826
(41.670479, -72.784005)",102 WASHINGTON ST,NEW BRITAIN,CT,06051-1826,38887,17,1041,1,89
WALGREENS #07584,(203) 932-9311,PCY.0001313,"394 CAMPBELL AVE
CT 06516-5012
(41.269068, -72.948726)",394 CAMPBELL AVE,WEST HAVEN,CT,06516-5012,38463,11,1044,7,156
WALGREENS #07566,(860) 569-4120,PCY.0001352,"922 SILVER LN
CT 06118-1248
(41.765282, -72.603423)",922 SILVER LN,EAST HARTFORD,CT,06118-1248,364682,24,1041,1,43
WALGREENS #07522,(203) 374-2819,PCY.0001855,"4083 MAIN ST
CT 06606-2302
(41.216427, -73.213467)",4083 MAIN ST,BRIDGEPORT,CT,06606-2302,358276,74,1040,2,15
WALGREENS #07333,(860) 423-6304,PCY.0000960,"1475 MAIN ST
CT 06226-1914
(41.717423, -72.233741)",1475 MAIN ST,WILLIMANTIC,CT,06226-1914,246044,207,38,8,163
WALGREENS #07258,(203) 267-6718,PCY.0001922,"370 MAIN ST S
CT 06488-4200
(41.471879, -73.222787)",370 MAIN ST S,SOUTHBURY,CT,06488-4200,387327,99,1044,4,130
WALGREENS #07145,(203) 226-8452,PCY.0001844,"880 POST RD E
CT 06880-5223
(41.138092, -73.334853)",880 POST RD E,WESTPORT,CT,06880-5223,349943,179,1040,9,158
WALGREENS #07086,(860) 793-9356,PCY.0001811,"5 FARMINGTON AVE
CT 06062-1726
(41.674928, -72.858142)",5 FARMINGTON AVE,PLAINVILLE,CT,06062-1726,314837,260,1041,1,110
WALGREENS #07047,(860) 667-0461,PCY.0002012,"2920 BERLIN TPKE
CT 06111-4116
(41.669193, -72.718035)",2920 BERLIN TPKE,NEWINGTON,CT,06111-4116,414149,86,1041,1,94
WALGREENS #06992,(860) 871-6068,PCY.0001856,"529 TALCOTTVILLE RD
CT 06066-2311
(41.850999, -72.483792)",529 TALCOTTVILLE RD,VERNON ROCKVILLE,CT,06066-2311,358444,248,38,1,146
WALGREENS #06968,(203) 798-7753,PCY.0001238,"101 FEDERAL RD
CT 06811-4019
(41.429371, -73.416516)",101 FEDERAL RD,DANBURY,CT,06811-4019,38242,60,1040,9,34
WALGREENS #06966,(203) 757-1998,PCY.0001812,"11 MERIDEN RD
CT 06705-1933
(41.547122, -73.017334)",11 MERIDEN RD,WATERBURY,CT,06705-1933,314839,241,1044,4,151
WALGREENS #06914,(203) 469-3016,PCY.0001943,"87 FOXON ST
CT 06513-2365
(41.319802, -72.871459)",87 FOXON ST,NEW HAVEN,CT,06513-2365,391067,242,1044,7,93
WALGREENS #06757,(203) 637-1496,PCY.0001838,"1333 E PUTNAM AVE
CT 06878-1529
(41.04323, -73.574359)",1333 E PUTNAM AVE,RIVERSIDE,CT,06878-1529,341003,250,1040,9,57
WALGREENS  #06654,(860) 644-1210,PCY.0001816,"149 DEMING ST
CT 06042-1731
(41.813242, -72.525294)",149 DEMING ST,MANCHESTER,CT,06042-1731,320701,161,1041,1,77
WALGREENS #06503,(203) 876-7643,PCY.0001810,"541 BRIDGEPORT AVE
CT 06460-4203
(41.206888, -73.088806)",541 BRIDGEPORT AVE,MILFORD,CT,06460-4203,316867,193,1044,7,84
WALGREENS #06474,(203) 752-9893,PCY.0001778,"88 YORK ST
CT 06511-5619
(41.306019, -72.933447)",88 YORK ST,NEW HAVEN,CT,06511-5619,279100,275,1044,7,93
WALGREENS #06308,(203) 845-0457,PCY.0001767,"55 WESTPORT AVE
CT 06851-3931
(41.121989, -73.404265)",55 WESTPORT AVE,NORWALK,CT,06851-3931,258118,87,1040,9,103
WALGREENS #05949,(860) 482-5621,PCY.0001782,"28 E ELM ST
CT 06790-5016
(41.811873, -73.120764)",28 E ELM ST,TORRINGTON,CT,06790-5016,283208,122,1042,6,143
WALGREENS #05948,(203) 639-8166,PCY.0001769,"425 W MAIN ST
CT 06451-3816
(41.539972, -72.817677)",425 W MAIN ST,MERIDEN,CT,06451-3816,258891,226,1044,7,80
WALGREENS #05723,(203) 334-6978,PCY.0001418,"960 NORTH AVE
CT 06606-5750
(41.191272, -73.197473)",960 NORTH AVE,BRIDGEPORT,CT,06606-5750,38883,172,1040,2,15
WALGREENS  #05407,(860) 649-8899,PCY.0001247,"295 MAIN ST
CT 06040-4128
(41.782905, -72.523)",295 MAIN ST,MANCHESTER,CT,06040-4128,38245,263,1041,1,77
WALGREENS #05406,(203) 230-2803,PCY.0001768,"1191 DIXWELL AVE
CT 06514-4733
(41.345324, -72.934147)",1191 DIXWELL AVE,HAMDEN,CT,06514-4733,258886,197,1044,7,62
WALGREENS #05134,(860) 658-0479,PCY.0001029,"540 BUSHY HILL RD
CT 06070-2925
(41.81833, -72.866681)",540 BUSHY HILL RD,SIMSBURY,CT,06070-2925,37986,18,1041,1,128
WALGREENS #04490,(860) 721-7224,PCY.0000951,"1100 SILAS DEANE HWY
CT 06109-4232
(41.691923, -72.656144)",1100 SILAS DEANE HWY,WETHERSFIELD,CT,06109-4232,37780,261,1041,1,159
WALGREENS #03944,(203) 481-0386,PCY.0000997,"329 E MAIN ST
CT 06405-3106
(41.292868, -72.785292)",329 E MAIN ST,BRANFORD,CT,06405-3106,37798,170,1044,7,14
WALGREENS #03827,(860) 522-5005,PCY.0000958,"161 WASHINGTON ST
CT 06106-2464
(41.757799, -72.682328)",161 WASHINGTON ST,HARTFORD,CT,06106-2464,359708,182,1041,1,64
WALGREENS #03579,(203) 389-2143,PCY.0000131,"1471 WHALLEY AVE
CT 06515-1153
(41.334125, -72.976393)",1471 WHALLEY AVE,NEW HAVEN,CT,06515-1153,36904,240,1044,7,93
WALGREENS #03523,(203) 791-0405,PCY.0001577,"75 MAIN ST
CT 06810-7802
(41.390774, -73.448122)",75 MAIN ST,DANBURY,CT,06810-7802,165889,1,1040,9,34
WALGREENS #03359,(203) 377-2851,PCY.0001539,"1606 BARNUM AVE
CT 06614-5301
(41.19494, -73.141788)",1606 BARNUM AVE,STRATFORD,CT,06614-5301,228049,178,1040,2,138
WALGREENS #03192,(203) 757-6010,PCY.0001521,"649 W MAIN ST
CT 06702-1082
(41.558281, -73.05128)",649 W MAIN ST,WATERBURY,CT,06702-1082,39125,167,1044,4,151
WALGREENS #02976,(860) 885-0389,PCY.0001471,"399 W MAIN ST
CT 06360-5414
(41.520782, -72.092373)",399 W MAIN ST,NORWICH,CT,06360-5414,39099,14,1045,8,104
