What is your view on politics in us & world,Ballot used for interview,Year of birth,Household type,Number in family of r,Rs income in constant $,Family income in constant $,Rs job is useful to society,R has opportunity to advance,Rs income is high,Rs job is secure,Standard of living of r will improve,Relationship status and cohabitation or not,The highest degree r have earned,Total family income,Respondents income,How much time felt sad in past wk,How much time felt happy in past wk,How much time felt depressed in past wk,Hours of internet use on weekends,Minutes of internet use on weekends,Hours of internet use on weekdays,Minutes of internet use on weekdays,Use twitter,Use internet/apps more than occassionally,I am meeting my current goals,I see myself as successful,I expect more good things to happen to me than bad,I'm always optimistic about my future,Hours per day watching tv,How often does r read newspaper,Rs living standard compared to parents,Happiness of marriage,General happiness,Strength of affiliation,Political party affiliation,Region of interview,Respondents income,Total family income,Was r born in this country,Rs family income when 16 yrs old,Living with parents when 16 yrs old,Marital status,Number of hours usually work a week,Respondent id number,Happiness of relt with partner,Condition of health,Satisfaction with financial situation,Rs self ranking of social position,Job or housework,Is r likely to lose job,Spend evening with friends,Spend evening with relatives,Confidence in congress,Confid. in united states supreme court,Confid. in exec branch of fed govt,Confidence in education,Confidence in major companies,Can people be trusted,Is life exciting or dull,Gss year for this respondent                       
Not applicable,Ballot b,1983,"1adlt,1+kids",1st person,0,234,No issp,No issp,No issp,No issp,Disagree,I don’t have a steady partner.,Not applicable,Under $1 000,Not applicable,Not applicable,Not applicable,Not applicable,4,0,7,0,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,1,Never,About the same,Not applicable,Don't know,Strong,Strong democrat,Middle atlantic,Not applicable,Lt $1000,Yes,Below average,Mother & stpfather,Never married,Not applicable,11,Not applicable,Not applicable,Not at all sat,7,Mod. satisfied,Not applicable,Sev times a week,Almost daily,Hardly any,Only some,Hardly any,Only some,Hardly any,Cannot trust,Not applicable,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1930,"1adlt,0kids",1st person,0,234,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,Under $1 000,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,Never,Not applicable,Not applicable,Not too happy,Strong,Strong republican,Middle atlantic,Not applicable,Lt $1000,Yes,Far below average,Mother & father,Widowed,Not applicable,12,Not applicable,Poor,Satisfied,3,Not applicable,Not applicable,Once a month,Sev times a mnth,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
"Policies in america depend on what is happening in the world economy, rather than who is in government",Ballot b,1984,"4+adlts,2mar,0kids",2nd person,2106,4212,No issp,No issp,No issp,No issp,Agree,Not applicable,Not applicable,$8 000 to 9 999,$4 000 to 4 999,Not applicable,Not applicable,Not applicable,12,0,12,0,No,Yes,Somewhat true,Mostly true,Agree,Agree,7,Less than once wk,Somewhat worse,Very happy,Very happy,Not very strong,"Ind,near dem",Middle atlantic,$4000 to 4999,$8000 to 9999,Yes,Below average,Mother,Married,Not applicable,13,Not applicable,Not applicable,Not at all sat,4,A little dissat,Not too likely,Never,Almost daily,Only some,Only some,Hardly any,Only some,Only some,Cannot trust,Not applicable,2016
Not applicable,Ballot c,1956,"1adlt,1+kids",1st person,0,6435,No issp,No issp,No issp,No issp,Agree,Not applicable,Not applicable,$12500 to 14999,Not applicable,Some of the time,Some of the time,Some of the time,3,0,2,0,No,Yes,Mostly true,Somewhat true,Agree,Agree,Not applicable,Not applicable,Somewhat better,Very happy,Very happy,Strong,Strong democrat,Middle atlantic,Not applicable,$10000 - 14999,Yes,Below average,Other,Married,Not applicable,14,Not applicable,Good,Satisfied,3,Very satisfied,Not applicable,Not applicable,Not applicable,Only some,Only some,Only some,A great deal,Only some,Can trust,Routine,2016
"Policies in america depend on what is happening in the world economy, rather than who is in government",Ballot b,1940,"1adlt,0kids",1st person,11115,21060,No issp,No issp,No issp,No issp,Agree,Not applicable,Not applicable,$40000 to 49999,$22500 to 24999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Yes,Somewhat true,Slightly true,Agree,Disagree,3,Once a week,About the same,Not applicable,Pretty happy,Not very strong,Independent,New england,$20000 - 24999,$25000 or more,Yes,Below average,Mother & father,Divorced,30,15,Not applicable,Not applicable,More or less,5,Mod. satisfied,Not too likely,Sev times a week,Sev times a year,Only some,Only some,Hardly any,Hardly any,Only some,Cannot trust,Not applicable,2016
Not applicable,Ballot c,1983,"2as,ntmar,ntrel,opsex,1+ks",2nd person,12870,25740,Neither,Strongly disagree,Disagree,Disagree,Disagree,Not applicable,Not applicable,$50000 to 59999,$25000 to 29999,Some of the time,Some of the time,Some of the time,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Mostly false,Slightly false,Agree,Disagree,Not applicable,Not applicable,Somewhat worse,Not applicable,Pretty happy,Strong,Independent,New england,$25000 or more,$25000 or more,Yes,Far below average,Father,Never married,Not applicable,16,Very happy,Excellent,Not at all sat,7,Very satisfied,Not applicable,Not applicable,Not applicable,Only some,A great deal,Only some,Only some,Hardly any,Can trust,Exciting,2016
Not applicable,Ballot c,1960,"4+adlts,2mar,0kids",1st person,9945,25740,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,I am married and living in the same household as my husband or wife.,Not applicable,$50000 to 59999,$20000 to 22499,Some of the time,All or almost all of the time,None or almost none of the time,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Mostly true,Definitely true,Strongly agree,Strongly agree,Not applicable,Not applicable,About the same,Very happy,Very happy,Strong,No answer,New england,$20000 - 24999,$25000 or more,No,Below average,Mother & father,Married,40,17,Not applicable,Excellent,More or less,6,Very satisfied,Not applicable,Not applicable,Not applicable,Only some,A great deal,Only some,A great deal,Only some,Cannot trust,Exciting,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot b,1954,"1adlt,0kids",1st person,0,2574,No issp,No issp,No issp,No issp,Neither,Not applicable,Not applicable,$5 000 to 5 999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Somewhat true,Somewhat true,Agree,Strongly disagree,4,Never,Much better,Not applicable,Pretty happy,Strong,Strong democrat,New england,Not applicable,$5000 to 5999,Yes,Below average,Mother,Widowed,Not applicable,18,Not applicable,Not applicable,More or less,5,Don't know,Not applicable,Once a month,Sev times a year,Hardly any,Only some,Hardly any,Only some,Only some,Cannot trust,Not applicable,2016
Not applicable,Ballot b,1985,"1adlt,0kids",1st person,17550,17550,Strongly agree,Agree,Disagree,Agree,Neither,I don’t have a steady partner.,Not applicable,$35000 to 39999,$35000 to 39999,Not applicable,Not applicable,Not applicable,2,0,3,0,Yes,Yes,Not applicable,Not applicable,Not applicable,Not applicable,1,Once a week,Somewhat worse,Not applicable,Pretty happy,No religion,"Ind,near dem",New england,$25000 or more,$25000 or more,Yes,Average,Mother & father,Never married,Not applicable,19,Not applicable,Not applicable,More or less,6,Mod. satisfied,Not likely,Sev times a year,Sev times a mnth,Hardly any,Only some,Only some,Hardly any,Only some,Cannot trust,Not applicable,2016
"Policies in america depend on what is happening in the world economy, rather than who is in government",Ballot a,1973,"1adlt,0kids",1st person,12870,12870,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,$25000 to 29999,$25000 to 29999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3,Never,Not applicable,Not applicable,Pretty happy,Strong,Strong democrat,New england,$25000 or more,$25000 or more,Yes,Average,Mother & father,Divorced,Not applicable,20,Not applicable,Good,Not at all sat,7,A little dissat,Not too likely,Never,Sev times a week,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot b,1958,"2adlts,ntmar,rel,0kids",2nd person,31590,46800,No issp,No issp,No issp,No issp,Agree,Not applicable,Not applicable,$90000 to $109999,$60000 to 74999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Yes,Somewhat true,Mostly true,Strongly agree,Strongly agree,3,Everyday,Much better,Not applicable,Pretty happy,Not very strong,Strong democrat,New england,$25000 or more,$25000 or more,Yes,Average,Mother & father,Never married,Not applicable,21,Not applicable,Not applicable,More or less,5,Very satisfied,Not likely,Once a month,Almost daily,Hardly any,A great deal,Only some,Only some,A great deal,Can trust,Not applicable,2016
Not applicable,Ballot c,1984,"2as,ntmar,ntrel,opsex,1+ks",2nd person,0,21060,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Not applicable,Not applicable,$40000 to 49999,Not applicable,None or almost none of the time,Most of the time,None or almost none of the time,2,0,1,0,No,Yes,Definitely true,Definitely true,Strongly agree,Strongly agree,Not applicable,Not applicable,Somewhat better,Not applicable,Pretty happy,No religion,Independent,Middle atlantic,Not applicable,$25000 or more,Yes,Average,M and f relatives,Never married,40,22,Pretty happy,Excellent,More or less,Top,Very satisfied,Not applicable,Not applicable,Not applicable,Hardly any,Hardly any,Hardly any,Only some,A great deal,Cannot trust,Exciting,2016
Not applicable,Ballot b,1993,"2as,ntmar,ntrel,opsex,1+ks",1st person,2106,11115,Neither,Agree,Disagree,Neither,Neither,"I have a steady partner, and we live in the same household.",Not applicable,$22500 to 24999,$4 000 to 4 999,Not applicable,Not applicable,Not applicable,3,0,3,0,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,3,Never,Somewhat better,Not applicable,Very happy,No religion,"Ind,near dem",Middle atlantic,$4000 to 4999,$20000 - 24999,No,Average,Mother,Never married,Not applicable,23,Very happy,Not applicable,More or less,6,Mod. satisfied,Not likely,Almost daily,Sev times a week,Only some,Only some,Only some,A great deal,Only some,Cannot trust,Not applicable,2016
Not applicable,Ballot c,1979,"2adlts,mar,1+kids",2nd person,25740,31590,No issp,No issp,No issp,No issp,Strongly agree,I am married and living in the same household as my husband or wife.,Not applicable,$60000 to 74999,$50000 to 59999,None or almost none of the time,All or almost all of the time,None or almost none of the time,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Slightly true,Definitely false,Strongly agree,Neutral,Not applicable,Not applicable,Somewhat worse,Very happy,Very happy,Not very strong,Independent,Middle atlantic,$25000 or more,$25000 or more,Yes,Average,Mother & father,Married,Not applicable,24,Not applicable,Excellent,Not at all sat,6,Very satisfied,Not applicable,Not applicable,Not applicable,Hardly any,Hardly any,Hardly any,A great deal,A great deal,Cannot trust,Exciting,2016
Not applicable,Ballot c,1991,"1adlt,1+kids",1st person,8775,9945,Agree,Neither,Neither,Agree,Agree,Not applicable,Not applicable,$20000 to 22499,$17500 to 19999,Some of the time,Most of the time,None or almost none of the time,8,0,10,0,No,Yes,Somewhat true,Mostly true,Strongly disagree,Strongly disagree,Not applicable,Not applicable,About the same,Not applicable,Pretty happy,Not very strong,"Ind,near rep",Middle atlantic,$15000 - 19999,$20000 - 24999,No,Average,Father,Divorced,Not applicable,25,Not applicable,Fair,More or less,5,Mod. satisfied,Not applicable,Not applicable,Not applicable,Only some,Only some,Only some,A great deal,Only some,Cannot trust,Exciting,2016
Not applicable,Ballot b,1940,"2adlts,ntmar,rel,1+kids",1st person,0,2574,No issp,No issp,No issp,No issp,Neither,I don’t have a steady partner.,Not applicable,$5 000 to 5 999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Not applicable,Not applicable,Not applicable,Not applicable,1,Few times a week,Don't know,Not applicable,Not too happy,Strong,Strong democrat,Middle atlantic,Not applicable,$5000 to 5999,No,Average,Male relative,Separated,Not applicable,26,Not applicable,Not applicable,Not at all sat,Bottom,Not applicable,Not applicable,Sev times a mnth,Almost daily,Only some,Only some,Only some,Only some,A great deal,Cannot trust,Not applicable,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1945,"2adlts,mar,0kids",1st person,0,0,No issp,No issp,No issp,No issp,Not applicable,I am married and living in the same household as my husband or wife.,Master's,Refused,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3,Everyday,Not applicable,Very happy,Very happy,No answer,Strong democrat,Middle atlantic,Not applicable,Refused,Yes,Below average,Mother & father,Married,Not applicable,27,Not applicable,Excellent,No answer,No answer,Not applicable,Not applicable,Sev times a year,Sev times a mnth,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
Not applicable,Ballot b,1994,"3adlts,2mar,sp,rel,0kids",3rd person,0,0,Agree,Neither,Strongly disagree,Strongly agree,Strongly disagree,I don’t have a steady partner.,Not applicable,Don't know,Not applicable,Not applicable,Not applicable,Not applicable,3,0,3,0,Yes,Yes,Not applicable,Not applicable,Not applicable,Not applicable,0,Never,About the same,Not applicable,Not too happy,No religion,Independent,Middle atlantic,Not applicable,Don't know,Yes,Average,Mother & stpfather,Never married,Not applicable,28,Not applicable,Not applicable,More or less,5,Mod. satisfied,Not likely,Sev times a year,Sev times a year,Hardly any,Hardly any,Only some,Only some,Only some,Cannot trust,Not applicable,2016
"Policies in america depend on what is happening in the world economy, rather than who is in government",Ballot b,1942,"1adlt,0kids",1st person,31590,56160,No issp,No issp,No issp,No issp,Agree,Not applicable,Master's,$110000 to $129999,$60000 to 74999,Not applicable,Not applicable,Not applicable,1,0,1,0,No,Yes,Mostly true,Mostly true,Agree,Disagree,3,Everyday,Much better,Not applicable,Pretty happy,Strong,Not str democrat,Middle atlantic,$25000 or more,$25000 or more,Yes,Above average,Mother & father,Widowed,Not applicable,29,Not applicable,Not applicable,Satisfied,3,Not applicable,Not applicable,Sev times a mnth,Sev times a mnth,Only some,A great deal,Only some,Only some,Only some,Cannot trust,Not applicable,2016
Not applicable,Ballot c,1941,"1adlt,0kids",1st person,0,15210,No issp,No issp,No issp,No issp,Disagree,I don’t have a steady partner.,Not applicable,$30000 to 34999,Not applicable,Some of the time,Some of the time,Some of the time,0,30,2,0,No,Yes,Mostly true,Mostly true,Agree,Agree,Not applicable,Not applicable,Much better,Not applicable,Not too happy,Somewhat strong,"Ind,near rep",Middle atlantic,Not applicable,$25000 or more,Yes,Average,Father,Divorced,Not applicable,30,Not applicable,Good,More or less,Top,Not applicable,Not applicable,Not applicable,Not applicable,Hardly any,Hardly any,Hardly any,Hardly any,Only some,Cannot trust,Exciting,2016
"Policies in america depend on what is happening in the world economy, rather than who is in government",Ballot b,1984,"4+adlts,2mar,1+kids",1st person,0,17550,No issp,No issp,No issp,No issp,Neither,Not applicable,Not applicable,$35000 to 39999,Not applicable,Not applicable,Not applicable,Not applicable,3,0,1,0,No,Yes,Slightly true,Slightly false,Neutral,Disagree,2,Never,Somewhat worse,Not applicable,Not too happy,No religion,"Ind,near dem",Middle atlantic,Not applicable,$25000 or more,Yes,Below average,Mother & father,Never married,Not applicable,31,Not applicable,Not applicable,Not at all sat,8,Don't know,Not applicable,Sev times a week,Sev times a year,Hardly any,Only some,Only some,Only some,Hardly any,Can trust,Not applicable,2016
Not applicable,Ballot c,1948,"2adlts,mar,0kids",1st person,25740,31590,Agree,Agree,Agree,Strongly agree,Neither,Not applicable,Not applicable,$60000 to 74999,$50000 to 59999,None or almost none of the time,Most of the time,None or almost none of the time,0,30,0,30,No,Yes,Somewhat true,Definitely true,Agree,Agree,Not applicable,Not applicable,Somewhat better,Very happy,Pretty happy,Somewhat strong,Independent,Middle atlantic,$25000 or more,$25000 or more,Yes,Average,Mother & father,Married,Not applicable,32,Not applicable,Good,Satisfied,5,Very satisfied,Not applicable,Not applicable,Not applicable,Only some,A great deal,Only some,A great deal,A great deal,Can trust,Exciting,2016
"Policies in america depend on what is happening in the world economy, rather than who is in government",Ballot a,1961,"3adlts,2mar,sp,rel,0kids",1st person,56160,74880,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,$150000 to $169999,$110000 to $129999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Everyday,Not applicable,Pretty happy,Pretty happy,No religion,"Ind,near rep",Middle atlantic,$25000 or more,$25000 or more,Yes,Below average,Mother,Married,Not applicable,33,Not applicable,Good,Satisfied,4,Very satisfied,Not likely,Never,Never,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
Not applicable,Ballot c,1970,"2adlts,mar,1+kids",1st person,0,38610,No issp,No issp,No issp,No issp,Agree,I am married and living in the same household as my husband or wife.,Not applicable,$75000 to $89999,Not applicable,Some of the time,Some of the time,None or almost none of the time,3,0,3,0,No,Yes,Somewhat true,Somewhat false,Agree,Agree,Not applicable,Not applicable,About the same,Pretty happy,Pretty happy,Not very strong,Not str democrat,Middle atlantic,Not applicable,$25000 or more,No,Below average,Mother & father,Married,Not applicable,34,Not applicable,Fair,Not at all sat,7,Not applicable,Not applicable,Not applicable,Not applicable,Only some,Only some,Only some,Only some,Only some,Cannot trust,Routine,2016
"Policies in america depend on what is happening in the world economy, rather than who is in government",Ballot a,1958,"2adlts,ntmar,rel,0kids",1st person,0,21060,No issp,No issp,No issp,No issp,Not applicable,"I have a husband or wife or steady partner, but we don’t live in the same household.",Not applicable,$40000 to 49999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,Never,Not applicable,Not applicable,Not too happy,Strong,Strong democrat,Middle atlantic,Not applicable,$25000 or more,Yes,Far above average,Mother & father,Separated,Not applicable,35,Not applicable,Fair,Not at all sat,4,No answer,Not applicable,Sev times a mnth,Sev times a week,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
"Policies in america depend on what is happening in the world economy, rather than who is in government",Ballot b,1981,"2adlts,ntmar,rel,0kids",2nd person,21060,46800,No issp,No issp,No issp,No issp,Disagree,Not applicable,Not applicable,$90000 to $109999,$40000 to 49999,Not applicable,Not applicable,Not applicable,2,0,2,0,Yes,Yes,Slightly false,Slightly true,Neutral,Neutral,0,Never,About the same,Not applicable,Not too happy,No religion,Strong republican,Middle atlantic,$25000 or more,$25000 or more,Yes,Average,Mother,Never married,Not applicable,36,Not applicable,Not applicable,More or less,6,Mod. satisfied,Not too likely,Sev times a week,Sev times a mnth,Only some,Only some,Hardly any,Hardly any,Only some,Can trust,Not applicable,2016
Not applicable,Ballot b,1957,"4+adlts,2mar,0kids",1st person,8775,38610,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,I am married and living in the same household as my husband or wife.,Not applicable,$75000 to $89999,$17500 to 19999,Not applicable,Not applicable,Not applicable,2,0,2,0,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,2,Everyday,Somewhat worse,Pretty happy,Not too happy,Strong,"Ind,near dem",Middle atlantic,$15000 - 19999,$25000 or more,Yes,Average,Mother & father,Married,Not applicable,37,Not applicable,Not applicable,Not at all sat,6,A little dissat,Not likely,Once a month,Sev times a year,Hardly any,Only some,Hardly any,Only some,Only some,Can trust,Not applicable,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1973,"2adlts,mar,1+kids",1st person,25740,56160,No issp,No issp,No issp,No issp,Not applicable,I am married and living in the same household as my husband or wife.,Bachelor's,$110000 to $129999,$50000 to 59999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,Once a week,Not applicable,Pretty happy,Pretty happy,Not very strong,Independent,Middle atlantic,$25000 or more,$25000 or more,Yes,Below average,Mother,Married,Not applicable,38,Not applicable,Good,More or less,3,No answer,Not too likely,Once a month,Once a month,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
