Source,Date,Search,Character,Comment,Likes,Shares,Valence,Category
Twitter,7-23-19,"""McKay"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,"McKay pissed me off honestly. Some ppl probably saw this weeks episode & got angry with his gf. I didn’t.

I def was upset with HIM. Because he tries so hard to change her — she was drunk as fuck trying to express herself and all that nigga said was.. “you sound drunk” #EUPHORIA",7,5,Negative,Dislike
Twitter,7-21-19,"""McKay"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,Daniel is a predator  Nate is trash  and I'm tired of McKay #euphoria,4,2,Negative,Dislike
Twitter,7-22-19,"""McKay"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,idk why hella people are hating on McKay episode and saying he’s boring or whatever but reality is  not everyone’s life is a fucking movie plus what happened to him in the dorm WAS NOT OKAY it obviously affected him like it would affect anyone else. #euphoriahbo #euphoria,12,2,Neutral,Defensive
Twitter,7-24-19,"""McKay"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,Watching Euphoria and trying to figure out if that guy McKay got raped by his frat brother or was he just playing and dry humping him😳... either way that scene was disturbing like wtfff,1,0,Neutral,Concern
Twitter,7-22-19,"""McKay"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,I can seriously relate to McKay. Having bottled up and stored alot of those emotions can be hazardous to everyone around you. Especially if one thing sets you off. #Euphoria,1,0,Neutral,Empathy
Twitter,7-21-19,"""McKay"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,can we talk about the emotional SITUATION FOR MCKAY- that was SO HORRIBLE TO WATCH AND greek and assault is NEVER OKAY. please take precautions #EUPHORIA,0,0,Neutral,Concern
Twitter,7-23-19,"""McKay"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,I sincerely fucking hate Nate and McKay #euphoria,1,0,Negative,Dislike
Twitter,7-24-19,"""McKay"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,"I just caught up with #EUPHORIA  and Mckay's assault scene was shicking enough that almost nobody mention it
To me Mckay was problematic from Day 1  and the after scene showed why. He didn't adress it  but reproduced the violence of the act on his GF
#feelEUPHORIA 
#euphoriahbo
",0,0,Negative,Dislike
Twitter,7-21-19,"""McKay"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,Watching Euphoria makes me wanna take care of all these little girls + Ethan and (and kind of) McKay.,0,0,Positive,Concern
Twitter,7-21-19,"""McKay"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,Idk if any of y’all have watched The Breakfast Club  but if you have  McKay reminds me of Andrew from that movie. He fears failing himself and his parents and he has such high expectations. It’s super upsetting.  #EuphoriaHBO #Euphoria #feelEUPHORIA,3,0,Neutral,Concern
Twitter,7-23-19,"""McKay"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,Watching Euphoria now  and McKay is letting us down five minutes in.,3,0,Negative,Disappointment
Twitter,7-21-19,"""McKay"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,McKay pledge a white fraternity and is dating a high schooler. Ain’t nothing but Karma driving by to do her thing. #EUPHORIA,1,0,Negative,Justice
Twitter,7-22-19,"""McKay"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,I'm watching Euphoria and...what the hell just happened to McKay????,2,1,Positive,Concern
Twitter,7-21-19,"""McKay"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,"McKay  Ethan  Fezco  Lexie and Ashtray are the only decent people on this show and two of the four are drug dealers.
🤦🏾‍♂️  #EUPHORIA #EuphoriaHBO",2,1,Positive,Like
Twitter,7-22-19,"""McKay"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,The relationship between McKay and his father NEEDS to be discussed. Because that attitude is so common in the black community. Not allowing our boys to feel and be emotional. Please explore that.  #Euphoria,2,0,Neutral,Concern
Twitter,7-24-19,"""McKay"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,Just watched the recent episode of Euphoria  and I hate Jules & McKay,1,0,Negative,Dislike
Twitter,7-22-19,"""McKay"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,McKay just pretending to be this heartless person that he isn’t and it’s making him an asshole #euphoria,2,0,Neutral,Conflicted
Twitter,7-22-19,"""McKay"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,Euphoria was WILD. And all I’m gonna say is if McKay was my man-I’d throw fuckin hands for him. How you Gibb sit there and let that happen? I’d toss EVERYTHING in the room at those mf’ers,1,0,Positive,Defensive
Twitter,7-25-19,"""McKay"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,McKay is the most boring character on Euphoria because his only personality trait is being insecure and defensive.,2,0,Neutral,Dislike
Twitter,7-21-19,"""McKay"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,Kat could’ve done so much better than Daniel... can we all just go over how terrible Daniel and McKay are as people. Like what is this?? #EUPHORIA #euphoriahbo,1,0,Negative,Insult
Twitter,7-21-19,"""McKay"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,McKay needs rest and more black friends. #EUPHORIA,0,0,Positive,Concern
Twitter,7-21-19,"""McKay"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,McKay breaks my heart because he is really trying to find stability and open up but the men in his life are trash or hyper violent  #EUPHORIA,5,1,Positive,Concern
Twitter,7-21-19,"""McKay"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,McKay from Euphoria is that dude that my friend and I talk shit about,0,0,Negative,Dislike
Twitter,7-21-19,"""McKay"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,McKay and Nate are such douches in such different ways #EUPHORIA,0,0,Negative,Insult
Twitter,7-21-19,"""McKay"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,I’m happy this episode of Euphoria is focusing on McKay because I don’t really care for him and this girl storyline so far,0,0,Negative,Dislike
Twitter,7-22-19,"""McKay"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,Of course twitter hating on that king mckay for getting RAPED and getting cheated on  man say yall hate black men and move on #euphoria,0,0,Positive,Defensive
Twitter,7-23-19,"""McKay"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,Watching  euphoria and I just want to say McKay is a black man going to a school that isn’t majorly black. He is trying to navigate his own identity as a black man but he’s not in an accepting environment. We all know the history of hazing but I seen what happened not only as disrespectful to him as a man but as a black man. Some ppl can say what they want but you seen McKay openly try to fit in with these ppl but have they openly accepted him🤔 I have experience cruelty like this as being a black woman at a majority white school you try so hard to be accepted and later you get disrespected and made as a joke and it cripples who you are and who you are trying to be but I digress just an observation,0,0,Neutral,Empathy
Twitter,7-22-19,"""McKay"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,Rewatching Euphoria and damn  I feel horrible for McKay. Imagine having to bottle up your feelings from an experience like that?,0,0,Neutral,Empathy
Twitter,7-22-19,"""McKay"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,Nate is a piece of shit and McKay is a dub for fucking Cass outta anger just cause a few niggas embarrassed him. #EUPHORIA,0,0,Negative,Insult
Twitter,7-21-19,"""McKay"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,And then McKay...god. He seems like he's off by himself at college. :-( #Euphoria,2,0,Neutral,Concern
