YEAR,ST,State,TopicType,TopicDesc,MeasureDesc,SubMeasure,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Gender,Age,Race,Education,GeoLocation,TopicTypeId,TopicId,MeasureId,StratificationID1,StratificationID2,StratificationID3,StratificationID4
2015,AK,Alaska,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Ever E-Cigarette User,Ever,%,Percentage,,,,,,Overall,All Ages,African American,High School,"(64.84507995700051, -147.72205903599973)",BEH,152BEH,180EVP,1GEN,8AGE,1RAC,2EDU,YRB08,3
2015,AK,Alaska,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Ever E-Cigarette User,Ever,%,Percentage,52.6,4.5,43.7,61.5,130,Overall,All Ages,Hispanic,High School,"(64.84507995700051, -147.72205903599973)",BEH,152BEH,180EVP,1GEN,8AGE,4RAC,2EDU,YRB08,3
2015,AK,Alaska,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Ever E-Cigarette User,Ever,%,Percentage,,,,,,Overall,All Ages,Pacific Islander,High School,"(64.84507995700051, -147.72205903599973)",BEH,152BEH,180EVP,1GEN,8AGE,9RAC,2EDU,YRB08,3
2015,AK,Alaska,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Ever E-Cigarette User,Ever,%,Percentage,34.8,2.5,30.1,39.9,664,Overall,All Ages,White,High School,"(64.84507995700051, -147.72205903599973)",BEH,152BEH,180EVP,1GEN,8AGE,5RAC,2EDU,YRB08,3
2015,AK,Alaska,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Ever E-Cigarette User,Ever,%,Percentage,41.9,4.5,33.3,51.1,153,Overall,All Ages,Multiple Race,High School,"(64.84507995700051, -147.72205903599973)",BEH,152BEH,180EVP,1GEN,8AGE,7RAC,2EDU,YRB08,3
2015,AK,Alaska,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Ever E-Cigarette User,Ever,%,Percentage,31.9,1.9,28.3,35.8,687,Female,All Ages,All Races,High School,"(64.84507995700051, -147.72205903599973)",BEH,152BEH,180EVP,3GEN,8AGE,6RAC,2EDU,YRB08,3
2015,AK,Alaska,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Ever E-Cigarette User,Ever,%,Percentage,39.7,2.8,34.2,45.3,684,Male,All Ages,All Races,High School,"(64.84507995700051, -147.72205903599973)",BEH,152BEH,180EVP,2GEN,8AGE,6RAC,2EDU,YRB08,3
2015,AL,Alabama,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Current E-Cigarette User,Current,%,Percentage,24.5,1.7,21.2,28.1,1528,Overall,All Ages,All Races,High School,"(32.84057112200048, -86.63186076199969)",BEH,152BEH,180EVP,1GEN,8AGE,6RAC,2EDU,YRB06,1
2015,AL,Alabama,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Current E-Cigarette User,Current,%,Percentage,,,,,,Overall,All Ages,American Indian/Alaska Native,High School,"(32.84057112200048, -86.63186076199969)",BEH,152BEH,180EVP,1GEN,8AGE,2RAC,2EDU,YRB06,1
2015,AL,Alabama,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Current E-Cigarette User,Current,%,Percentage,,,,,,Overall,All Ages,Asian,High School,"(32.84057112200048, -86.63186076199969)",BEH,152BEH,180EVP,1GEN,8AGE,8RAC,2EDU,YRB06,1
2015,AL,Alabama,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Current E-Cigarette User,Current,%,Percentage,20.9,2.2,16.7,26,581,Overall,All Ages,African American,High School,"(32.84057112200048, -86.63186076199969)",BEH,152BEH,180EVP,1GEN,8AGE,1RAC,2EDU,YRB06,1
2015,AL,Alabama,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Current E-Cigarette User,Current,%,Percentage,,,,,,Overall,All Ages,Hispanic,High School,"(32.84057112200048, -86.63186076199969)",BEH,152BEH,180EVP,1GEN,8AGE,4RAC,2EDU,YRB06,1
2015,AL,Alabama,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Current E-Cigarette User,Current,%,Percentage,,,,,,Overall,All Ages,Pacific Islander,High School,"(32.84057112200048, -86.63186076199969)",BEH,152BEH,180EVP,1GEN,8AGE,9RAC,2EDU,YRB06,1
2015,AL,Alabama,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Current E-Cigarette User,Current,%,Percentage,25.2,1.6,22,28.7,685,Overall,All Ages,White,High School,"(32.84057112200048, -86.63186076199969)",BEH,152BEH,180EVP,1GEN,8AGE,5RAC,2EDU,YRB06,1
2015,AL,Alabama,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Current E-Cigarette User,Current,%,Percentage,,,,,,Overall,All Ages,Multiple Race,High School,"(32.84057112200048, -86.63186076199969)",BEH,152BEH,180EVP,1GEN,8AGE,7RAC,2EDU,YRB06,1
2015,AL,Alabama,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Current E-Cigarette User,Current,%,Percentage,22,2.1,18,26.6,734,Female,All Ages,All Races,High School,"(32.84057112200048, -86.63186076199969)",BEH,152BEH,180EVP,3GEN,8AGE,6RAC,2EDU,YRB06,1
2015,AL,Alabama,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Current E-Cigarette User,Current,%,Percentage,26.5,1.8,22.9,30.4,786,Male,All Ages,All Races,High School,"(32.84057112200048, -86.63186076199969)",BEH,152BEH,180EVP,2GEN,8AGE,6RAC,2EDU,YRB06,1
2015,AL,Alabama,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Frequent E-Cigarette User,Frequent,%,Percentage,3,0.5,2.1,4.1,1528,Overall,All Ages,All Races,High School,"(32.84057112200048, -86.63186076199969)",BEH,152BEH,180EVP,1GEN,8AGE,6RAC,2EDU,YRB07,2
2015,AL,Alabama,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Frequent E-Cigarette User,Frequent,%,Percentage,,,,,,Overall,All Ages,American Indian/Alaska Native,High School,"(32.84057112200048, -86.63186076199969)",BEH,152BEH,180EVP,1GEN,8AGE,2RAC,2EDU,YRB07,2
2015,AL,Alabama,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Frequent E-Cigarette User,Frequent,%,Percentage,,,,,,Overall,All Ages,Asian,High School,"(32.84057112200048, -86.63186076199969)",BEH,152BEH,180EVP,1GEN,8AGE,8RAC,2EDU,YRB07,2
2015,AL,Alabama,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Frequent E-Cigarette User,Frequent,%,Percentage,2.2,0.9,0.9,5,581,Overall,All Ages,African American,High School,"(32.84057112200048, -86.63186076199969)",BEH,152BEH,180EVP,1GEN,8AGE,1RAC,2EDU,YRB07,2
2015,AL,Alabama,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Frequent E-Cigarette User,Frequent,%,Percentage,,,,,,Overall,All Ages,Hispanic,High School,"(32.84057112200048, -86.63186076199969)",BEH,152BEH,180EVP,1GEN,8AGE,4RAC,2EDU,YRB07,2
2015,AL,Alabama,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Frequent E-Cigarette User,Frequent,%,Percentage,,,,,,Overall,All Ages,Pacific Islander,High School,"(32.84057112200048, -86.63186076199969)",BEH,152BEH,180EVP,1GEN,8AGE,9RAC,2EDU,YRB07,2
2015,AL,Alabama,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Frequent E-Cigarette User,Frequent,%,Percentage,3.2,0.5,2.3,4.5,685,Overall,All Ages,White,High School,"(32.84057112200048, -86.63186076199969)",BEH,152BEH,180EVP,1GEN,8AGE,5RAC,2EDU,YRB07,2
2015,AL,Alabama,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Frequent E-Cigarette User,Frequent,%,Percentage,,,,,,Overall,All Ages,Multiple Race,High School,"(32.84057112200048, -86.63186076199969)",BEH,152BEH,180EVP,1GEN,8AGE,7RAC,2EDU,YRB07,2
2015,AL,Alabama,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Frequent E-Cigarette User,Frequent,%,Percentage,1.7,0.3,1.2,2.5,734,Female,All Ages,All Races,High School,"(32.84057112200048, -86.63186076199969)",BEH,152BEH,180EVP,3GEN,8AGE,6RAC,2EDU,YRB07,2
2015,AL,Alabama,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Frequent E-Cigarette User,Frequent,%,Percentage,4.1,0.9,2.5,6.4,786,Male,All Ages,All Races,High School,"(32.84057112200048, -86.63186076199969)",BEH,152BEH,180EVP,2GEN,8AGE,6RAC,2EDU,YRB07,2
2015,AL,Alabama,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Ever E-Cigarette User,Ever,%,Percentage,41,2,36.8,45.2,1500,Overall,All Ages,All Races,High School,"(32.84057112200048, -86.63186076199969)",BEH,152BEH,180EVP,1GEN,8AGE,6RAC,2EDU,YRB08,3
2015,AL,Alabama,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Ever E-Cigarette User,Ever,%,Percentage,,,,,,Overall,All Ages,American Indian/Alaska Native,High School,"(32.84057112200048, -86.63186076199969)",BEH,152BEH,180EVP,1GEN,8AGE,2RAC,2EDU,YRB08,3
2015,AL,Alabama,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Ever E-Cigarette User,Ever,%,Percentage,,,,,,Overall,All Ages,Asian,High School,"(32.84057112200048, -86.63186076199969)",BEH,152BEH,180EVP,1GEN,8AGE,8RAC,2EDU,YRB08,3
2015,AL,Alabama,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Ever E-Cigarette User,Ever,%,Percentage,39.1,2.7,33.6,44.8,566,Overall,All Ages,African American,High School,"(32.84057112200048, -86.63186076199969)",BEH,152BEH,180EVP,1GEN,8AGE,1RAC,2EDU,YRB08,3
2015,AL,Alabama,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Ever E-Cigarette User,Ever,%,Percentage,,,,,,Overall,All Ages,Hispanic,High School,"(32.84057112200048, -86.63186076199969)",BEH,152BEH,180EVP,1GEN,8AGE,4RAC,2EDU,YRB08,3
2015,AL,Alabama,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Ever E-Cigarette User,Ever,%,Percentage,,,,,,Overall,All Ages,Pacific Islander,High School,"(32.84057112200048, -86.63186076199969)",BEH,152BEH,180EVP,1GEN,8AGE,9RAC,2EDU,YRB08,3
2015,AL,Alabama,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Ever E-Cigarette User,Ever,%,Percentage,41.8,2.6,36.6,47.3,680,Overall,All Ages,White,High School,"(32.84057112200048, -86.63186076199969)",BEH,152BEH,180EVP,1GEN,8AGE,5RAC,2EDU,YRB08,3
2015,AL,Alabama,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Ever E-Cigarette User,Ever,%,Percentage,,,,,,Overall,All Ages,Multiple Race,High School,"(32.84057112200048, -86.63186076199969)",BEH,152BEH,180EVP,1GEN,8AGE,7RAC,2EDU,YRB08,3
2015,AL,Alabama,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Ever E-Cigarette User,Ever,%,Percentage,38.1,2.6,32.9,43.7,726,Female,All Ages,All Races,High School,"(32.84057112200048, -86.63186076199969)",BEH,152BEH,180EVP,3GEN,8AGE,6RAC,2EDU,YRB08,3
2015,AL,Alabama,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Ever E-Cigarette User,Ever,%,Percentage,43.5,2.4,38.5,48.6,769,Male,All Ages,All Races,High School,"(32.84057112200048, -86.63186076199969)",BEH,152BEH,180EVP,2GEN,8AGE,6RAC,2EDU,YRB08,3
2015,AR,Arkansas,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Current E-Cigarette User,Current,%,Percentage,26.4,2.3,22.1,31.2,2779,Overall,All Ages,All Races,High School,"(34.74865012400045, -92.27449074299966)",BEH,152BEH,180EVP,1GEN,8AGE,6RAC,2EDU,YRB06,1
2015,AR,Arkansas,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Current E-Cigarette User,Current,%,Percentage,,,,,,Overall,All Ages,American Indian/Alaska Native,High School,"(34.74865012400045, -92.27449074299966)",BEH,152BEH,180EVP,1GEN,8AGE,2RAC,2EDU,YRB06,1
2015,AR,Arkansas,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Current E-Cigarette User,Current,%,Percentage,,,,,,Overall,All Ages,Asian,High School,"(34.74865012400045, -92.27449074299966)",BEH,152BEH,180EVP,1GEN,8AGE,8RAC,2EDU,YRB06,1
2015,AR,Arkansas,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Current E-Cigarette User,Current,%,Percentage,18.5,2.8,13.6,24.8,657,Overall,All Ages,African American,High School,"(34.74865012400045, -92.27449074299966)",BEH,152BEH,180EVP,1GEN,8AGE,1RAC,2EDU,YRB06,1
2015,AR,Arkansas,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Current E-Cigarette User,Current,%,Percentage,32.8,3.1,27,39.1,441,Overall,All Ages,Hispanic,High School,"(34.74865012400045, -92.27449074299966)",BEH,152BEH,180EVP,1GEN,8AGE,4RAC,2EDU,YRB06,1
2015,AR,Arkansas,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Current E-Cigarette User,Current,%,Percentage,,,,,,Overall,All Ages,Pacific Islander,High School,"(34.74865012400045, -92.27449074299966)",BEH,152BEH,180EVP,1GEN,8AGE,9RAC,2EDU,YRB06,1
2015,AR,Arkansas,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Current E-Cigarette User,Current,%,Percentage,27.6,3.1,21.8,34.2,1325,Overall,All Ages,White,High School,"(34.74865012400045, -92.27449074299966)",BEH,152BEH,180EVP,1GEN,8AGE,5RAC,2EDU,YRB06,1
2015,AR,Arkansas,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Current E-Cigarette User,Current,%,Percentage,21.9,5.3,13.2,34.3,132,Overall,All Ages,Multiple Race,High School,"(34.74865012400045, -92.27449074299966)",BEH,152BEH,180EVP,1GEN,8AGE,7RAC,2EDU,YRB06,1
2015,AR,Arkansas,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Current E-Cigarette User,Current,%,Percentage,21.7,2.6,17,27.2,1477,Female,All Ages,All Races,High School,"(34.74865012400045, -92.27449074299966)",BEH,152BEH,180EVP,3GEN,8AGE,6RAC,2EDU,YRB06,1
2015,AR,Arkansas,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Current E-Cigarette User,Current,%,Percentage,30.6,3.2,24.7,37.2,1284,Male,All Ages,All Races,High School,"(34.74865012400045, -92.27449074299966)",BEH,152BEH,180EVP,2GEN,8AGE,6RAC,2EDU,YRB06,1
2015,AR,Arkansas,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Frequent E-Cigarette User,Frequent,%,Percentage,5.1,1.1,3.3,7.9,2779,Overall,All Ages,All Races,High School,"(34.74865012400045, -92.27449074299966)",BEH,152BEH,180EVP,1GEN,8AGE,6RAC,2EDU,YRB07,2
2015,AR,Arkansas,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Frequent E-Cigarette User,Frequent,%,Percentage,,,,,,Overall,All Ages,American Indian/Alaska Native,High School,"(34.74865012400045, -92.27449074299966)",BEH,152BEH,180EVP,1GEN,8AGE,2RAC,2EDU,YRB07,2
2015,AR,Arkansas,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Frequent E-Cigarette User,Frequent,%,Percentage,,,,,,Overall,All Ages,Asian,High School,"(34.74865012400045, -92.27449074299966)",BEH,152BEH,180EVP,1GEN,8AGE,8RAC,2EDU,YRB07,2
2015,AR,Arkansas,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Frequent E-Cigarette User,Frequent,%,Percentage,2.8,1.6,0.9,8.3,657,Overall,All Ages,African American,High School,"(34.74865012400045, -92.27449074299966)",BEH,152BEH,180EVP,1GEN,8AGE,1RAC,2EDU,YRB07,2
2015,AR,Arkansas,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Frequent E-Cigarette User,Frequent,%,Percentage,7.4,2,4.3,12.7,441,Overall,All Ages,Hispanic,High School,"(34.74865012400045, -92.27449074299966)",BEH,152BEH,180EVP,1GEN,8AGE,4RAC,2EDU,YRB07,2
2015,AR,Arkansas,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Frequent E-Cigarette User,Frequent,%,Percentage,,,,,,Overall,All Ages,Pacific Islander,High School,"(34.74865012400045, -92.27449074299966)",BEH,152BEH,180EVP,1GEN,8AGE,9RAC,2EDU,YRB07,2
2015,AR,Arkansas,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Frequent E-Cigarette User,Frequent,%,Percentage,5.6,1.7,3,10.2,1325,Overall,All Ages,White,High School,"(34.74865012400045, -92.27449074299966)",BEH,152BEH,180EVP,1GEN,8AGE,5RAC,2EDU,YRB07,2
2015,AR,Arkansas,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Frequent E-Cigarette User,Frequent,%,Percentage,3.7,2.5,1,13.2,132,Overall,All Ages,Multiple Race,High School,"(34.74865012400045, -92.27449074299966)",BEH,152BEH,180EVP,1GEN,8AGE,7RAC,2EDU,YRB07,2
2015,AR,Arkansas,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Frequent E-Cigarette User,Frequent,%,Percentage,2,0.7,1,4.1,1477,Female,All Ages,All Races,High School,"(34.74865012400045, -92.27449074299966)",BEH,152BEH,180EVP,3GEN,8AGE,6RAC,2EDU,YRB07,2
2015,AR,Arkansas,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Frequent E-Cigarette User,Frequent,%,Percentage,8.3,1.6,5.5,12.2,1284,Male,All Ages,All Races,High School,"(34.74865012400045, -92.27449074299966)",BEH,152BEH,180EVP,2GEN,8AGE,6RAC,2EDU,YRB07,2
2015,AR,Arkansas,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Ever E-Cigarette User,Ever,%,Percentage,44.7,1.6,41.4,47.9,2683,Overall,All Ages,All Races,High School,"(34.74865012400045, -92.27449074299966)",BEH,152BEH,180EVP,1GEN,8AGE,6RAC,2EDU,YRB08,3
2015,AR,Arkansas,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Ever E-Cigarette User,Ever,%,Percentage,,,,,,Overall,All Ages,American Indian/Alaska Native,High School,"(34.74865012400045, -92.27449074299966)",BEH,152BEH,180EVP,1GEN,8AGE,2RAC,2EDU,YRB08,3
2015,AR,Arkansas,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Ever E-Cigarette User,Ever,%,Percentage,,,,,,Overall,All Ages,Asian,High School,"(34.74865012400045, -92.27449074299966)",BEH,152BEH,180EVP,1GEN,8AGE,8RAC,2EDU,YRB08,3
2015,AR,Arkansas,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Ever E-Cigarette User,Ever,%,Percentage,34.2,3.4,27.9,41.2,625,Overall,All Ages,African American,High School,"(34.74865012400045, -92.27449074299966)",BEH,152BEH,180EVP,1GEN,8AGE,1RAC,2EDU,YRB08,3
2015,AR,Arkansas,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Ever E-Cigarette User,Ever,%,Percentage,51,4.6,41.9,60.1,421,Overall,All Ages,Hispanic,High School,"(34.74865012400045, -92.27449074299966)",BEH,152BEH,180EVP,1GEN,8AGE,4RAC,2EDU,YRB08,3
2015,AR,Arkansas,Tobacco Use - Survey Data,E-Cigarette Use (Youth),User Status,Ever E-Cigarette User,Ever,%,Percentage,,,,,,Overall,All Ages,Pacific Islander,High School,"(34.74865012400045, -92.27449074299966)",BEH,152BEH,180EVP,1GEN,8AGE,9RAC,2EDU,YRB08,3
