"Fiscal Year","Employer","Initial Approvals","Initial Denials","Continuing Approvals","Continuing Denials","NAICS","Tax ID","State","City","ZIP"
"2015","TROIKE ROSTEDT ENGINEERING DBA TTR","1","0","0","0","54","","OH","AKRON","44312"
"2015","UNIV OF AKRON RESEARCH FDN","1","0","0","0","54","","OH","AKRON","44325"
"2015","NEPHROLOGY ASSO INC D/B/A THE RENA","1","0","0","0","62","","OH","POLAND","44514"
"2015","ANISH INC LLC","0","1","0","0","72","","OK","CLAREMORE","74017"
"2015","TRI-SIMULATION INC","1","0","0","0","54","","OR","BEAVERTON","97005"
"2015","VIHAR F W LP/BEST WESTERN INN","0","0","1","0","72","","PA","FORT WASHINGTON","19034"
"2015","THE FOUNDATION OF ISLAMIC ED/ DBA","0","0","1","0","61","","PA","VILLANOVA","19085"
"2015","FUSION CONSULTING GROUP INC","0","1","0","0","54","","PR","GUAYNABO","00966"
"2015","ASA ELECTRONICS LLC","1","0","0","0","54","","SC","GREENVILLE","29601"
"2015","PLATINUM MANAGEMENT SERVICES LLC","0","0","1","0","99","","TN","NASHVILLE","37201"
"2015","LANE BOOT COMPANY","0","0","1","0","31","","TX","ARLINGTON","76011"
"2015","COGNIZANT TECH SOLNS SR US CORP","0","0","1","0","54","","TX","COLLEGE STATION","77845"
"2015","LLOYD S REGISTER QUALITY ASSURANCE","1","0","0","0","48","","TX","HOUSTON","77010"
"2015","BOOMCLOUD 360 INC","1","0","0","0","51","","TX","HOUSTON","77018"
"2015","SHIPPERS STEVEDORING COMPANY","1","0","0","0","48","","TX","HOUSTON","77029"
"2015","JH OILFIELD TECHNOLOGIES LLC","2","0","0","0","33","","TX","HOUSTON","77041"
"2015","W J MANGOLD MEMORIAL HOSPITAL","1","0","0","0","62","","TX","LOCKNEY","79241"
"2015","OUTSTANDING POSSIBILITIES REVEALED","1","0","0","0","56","","VA","ARLINGTON","22207"
"2015","MIDDLEBURY INTERACTIVE LANGUAGES","1","0","0","0","61","","VT","MIDDLEBURY","05753"
"2015","COLUMBIA ENERGY & ENVIRONMENTAL SV","1","0","0","0","56","","WA","RICHLAND","99354"
"2015","BLPS CONTENT CONNECTIONS","1","0","0","0","99","","WI","CHILTON","53014"
"2015","HORIZON SOFTECH INC","0","0","1","0","54","8567","MI","TROY","48083"
"2015","L L BEAN INC","0","0","2","0","33","6590","ME","FREEPORT","04033"
"2015","L L BEAN INC","0","0","1","0","44","6590","ME","FREEPORT","04033"
"2015","TD BANK NA","2","0","6","0","52","7770","NJ","MOUNT LAUREL","08054"
"2015","SHIVAM INFOTECH INC","0","0","1","0","54","0867","NJ","KENDALL PARK","08824"
"2015","MAINE COAST MEMORIAL HOSPITAL","0","0","1","0","62","8331","ME","ELLSWORTH","04605"
"2015","COLBY COLLEGE","5","0","0","0","61","1497","ME","WATERVILLE","04901"
"2015","EASTERN MAINE MED CTR","18","0","4","0","62","1501","ME","BANGOR","04401"
"2015","THE JACKSON LABORATORY","15","0","10","0","54","1513","ME","BAR HARBOR","04609"
"2015","ST  MARY S REGIONAL MEDICAL CTR","4","0","2","0","62","1551","ME","LEWISTON","04240"
"2015","BATES COLLEGE","4","0","2","0","61","1781","ME","LEWISTON","04240"
"2015","CALAIS REGIONAL HOSPITAL","1","0","1","0","62","1783","ME","CALAIS","04619"
"2015","UNIV OF NEW ENGLAND","7","0","0","0","61","1810","ME","BIDDEFORD","04005"
"2015","BOWDOIN COLLEGE","3","0","3","0","61","5213","ME","BRUNSWICK","04011"
"2015","INLAND HOSP","1","0","0","0","62","7211","ME","WATERVILLE","04901"
"2015","WRIGHT PIERCE","0","0","1","0","54","8316","NH","PORTSMOUTH","03801"
"2015","JOHN HANCOCK LIFE INSURANCE CO USA","0","0","1","0","52","3346","MA","BOSTON","02116"
"2015","JOHN HANCOCK LIFE INSURANCE CO USA","2","0","5","1","52","3346","MA","BOSTON","02117"
"2015","JOHN HANCOCK LIFE INSURANCE CO USA","4","0","4","1","52","3346","MA","BOSTON","02210"
"2015","NORTHERN MAINE MEDICAL CENTER","0","0","1","0","62","4189","ME","FORT KENT","04743"
"2015","MAINE MEDICAL CENTER","0","0","1","0","54","8552","ME","PORTLAND","04102"
"2015","MAINE MED CTR","0","0","2","0","62","8552","ME","PORTLAND","04102"
"2015","MACPAGE LLC","1","0","0","0","54","2373","ME","PORTLAND","04101"
"2015","SEBASTICOOK VALLEY HEALTH","0","0","1","0","62","3628","ME","PITTSFIELD","04967"
"2015","REDINGTON FAIRVIEW GEN HOSPITAL","2","0","1","0","62","4446","ME","SKOWHEGAN","04976"
"2015","KENNEBEC ANESTHESIA ASSOCIATES PA","1","0","0","0","62","8691","ME","AUGUSTA","04330"
"2015","HOSP ADMIN DIST NO 4 DBA MAYO REG","0","0","1","0","62","9670","ME","DOVER FOXCROFT","04426"
"2015","IGI LABORATORIES INC","1","0","3","0","32","5758","NJ","BUENA","08310"
"2015","MAINE DARTMOUTH FAMILY MEDICINE RE","0","0","1","0","62","9195","ME","AUGUSTA","04330"
"2015","THE AROOSTOOK MEDICAL CENTER","1","0","4","0","62","2148","ME","PRESQUE ISLE","04769"
"2015","PINES HEALTH SERVICES","2","0","0","0","62","6890","ME","CARIBOU","04736"
"2015","PENOBSCOT RESPIRATORY","1","0","0","0","62","7467","ME","BANGOR","04401"
"2015","IDEXX LABORATORIES INC","1","0","10","0","54","3723","ME","WESTBROOK","04092"
"2015","NORBORD PANELS USA INC","0","0","1","0","32","7746","AL","LANETT","36863"
"2015","SENSOR RESEARCH AND DEV CORP","0","0","1","0","54","6184","ME","ORONO","04473"
"2015","NORDX","0","1","0","0","62","1356","ME","SCARBOROUGH","04074"
"2015","PENOBSCOT COMMUNITY HEALTH CENTER","0","1","0","0","62","4750","ME","BANGOR","04401"
"2015","TRISTAN LLC D/B/A KAMP KOHUT","0","0","1","0","71","5339","ME","CAPE ELIZABETH","04107"
"2015","ACADIA CTR DBA ENVIROMENT NE & DBA","0","0","1","0","81","8193","ME","ROCKPORT","04856"
"2015","CORNERSTONE BRANDS INC","0","0","1","0","99","0036","OH","WEST CHESTER","45069"
"2015","MAINE BEHAVIORAL HEALTHCARE","0","0","1","0","56","4834","ME","SOUTH PORTLAND","04106"
"2015","REVITAS INC","0","0","3","0","54","4931","ME","PORTLAND","04101"
"2015","TRC ENGINEERS LLC","1","0","0","0","54","6475","MA","BOSTON","02210"
"2015","WEX INC","0","0","7","0","52","6993","ME","SOUTH PORTLAND","04106"
"2015","PENOBSCOT VALLEY HOSPITAL","0","0","1","0","62","5327","ME","LINCOLN","04457"
"2015","UTC ASSOCIATES INC","0","0","2","0","54","8464","NY","NEW YORK","10005"
"2015","TITANIUM INC","0","0","2","0","54","9172","MI","TROY","48083"
"2015","WOOD GR MUSTANG INC FKA MUSTANG EN","0","0","7","0","54","1791","TX","HOUSTON","77084"
"2015","OLYMPUS LATIN AMERICA INC","1","0","0","0","56","2457","PA","CENTER VALLEY","18034"
"2015","EVERCORE PARTNERS SERVICES E LLC","6","0","11","0","52","2543","NY","NEW YORK","10055"
"2015","BROOKS & SCARPA ARCHITECTS INC","1","0","0","0","54","2842","CA","LOS ANGELES","90043"
"2015","FLORIDA PROTON THERAPY INST INC","1","0","0","0","61","4709","FL","JACKSONVILLE","32206"
"2015","AUTOMATIT INC","1","0","0","0","54","5906","AZ","TUCSON","85705"
"2015","JAMES M CHA CPA & CO A PRO CORP","0","1","0","0","54","8018","CA","LOS ANGELES","90010"
"2015","DREAMLAND PRESCHOOL INC","0","0","1","0","61","8393","CA","IRVINE","92604"
"2015","HRSOFT USA INC","0","0","2","0","54","0270","FL","MAITLAND","32751"
"2015","PEDCARE PA","1","0","0","0","62","2155","TX","MESQUITE","75150"
"2015","SC & ASSOCIATES LLP","2","0","0","0","54","2318","NY","GREAT NECK","11021"
"2015","WOOD MACKENZIE INC","4","0","1","0","54","4533","MA","CENTERVILLE","02632"
"2015","DBSPECTRA INC","0","0","1","0","33","4825","TX","LEWISVILLE","75056"
"2015","DBSPECTRA","1","0","0","0","33","4825","TX","THE COLONY","75056"
"2015","MYBUYS INC","0","0","1","0","51","5787","MI","ANN ARBOR","48104"
"2015","CONCENTRIC ENERGY ADVISORS INC","0","0","1","0","54","8063","MA","MARLBOROUGH","01752"
"2015","MARKOV PROCESSES INTL INC DBA MPI","1","0","1","0","54","0792","NJ","SUMMIT","07901"
"2015","TURNING TECHNOLOGIES LLC","0","0","0","1","51","1988","OH","YOUNGSTOWN","44503"
"2015","DIGITAS INC","3","0","6","0","54","2286","MA","BOSTON","02110"
"2015","NWEA LLC","1","0","0","0","33","3596","CA","SANTA CLARA","95050"
"2015","3SHARP LLC","0","0","2","0","54","8148","WA","REDMOND","98052"
"2015","ADLERS PHARMACY LTC INC","1","0","0","0","44","9157","NJ","CHERRY HILL","08034"
"2015","KOMPASS INTEGRATED SOLUTIONS INC","1","0","0","0","54","9475","CA","MOUNTAIN VIEW","94043"
"2015","TINA KIM GALLERY LLC","2","0","0","0","71","9481","NY","NEW YORK","10011"
"2015","CORPORACION INTERAMERICANA PARA EL","0","0","2","0","52","9757","VA","ARLINGTON","22209"
"2015","ALICE OLIVIA LLC","0","0","1","0","45","0869","NJ","RIDGEWOOD","07450"
"2015","ALICE AND OLIVIA LLC","0","0","2","0","45","0869","NY","NEW YORK","10014"
"2015","SOUTH CAROLINA NEPHROLOGY & HYPERT","1","0","1","0","62","1624","SC","ORANGEBURG","29118"
"2015","STORY DENTAL HEALTH CENTER INC","1","0","0","0","62","2414","CA","SAN JOSE","95122"
"2015","Z-GEOINFO INC","0","0","1","0","54","4414","MD","LUTHERVILLE TIMONIUM","21093"
"2015","DIAGNOSTICS FOR THE REAL WORLD LTD","1","0","0","0","33","4612","CA","SUNNYVALE","94085"
"2015","KAIKAI KIKI NEW YORK LLC","0","0","1","0","71","4630","NY","LONG ISLAND CITY","11101"
"2015","MIW MARKETING AND CONSULTING INC","0","1","0","0","54","6632","CA","TORRANCE","90503"
"2015","SYMPHONY TECH GROUP L L C","1","0","0","0","52","6857","CA","PALO ALTO","94304"
"2015","ADVANCED PURIFICATION ENGINEERING","1","0","0","0","22","7030","CA","ROWLAND HEIGHTS","91748"
"2015","HEALTH PLAN SYSTEMS INC","0","0","4","0","54","9640","NJ","WOODBRIDGE","07095"
"2015","PANGBORN COLLECTION","1","0","0","0","54","9935","MI","DETROIT","48207"
"2015","INTREPID INTL TRADING CO LLC","1","0","0","0","42","1200","GA","CANTON","30115"
"2015","A1PLUSSOFT INC","1","0","0","1","54","2314","IL","LISLE","60532"
"2015","COBAN TECHNOLOGIES INC","1","0","0","0","54","3612","TX","HOUSTON","77031"
"2015","CISCON SERVICES INC","0","0","1","0","54","4176","TX","HOUSTON","77032"
"2015","NARDI ASSOCIATES LLP","1","0","0","0","54","4756","CA","MONROVIA","91016"
"2015","EQUITYMETRIX LLC","2","0","1","0","54","5899","TX","DALLAS","75240"
"2015","EQUITYMETRIX LLC","1","0","0","0","92","5899","TX","DALLAS","75240"
"2015","KEMIRA CHEMICALS INC","0","0","1","0","22","8941","GA","ATLANTA","30339"
"2015","DOUGLAS & LONDON PC","0","0","0","1","54","9196","NY","NEW YORK","10038"
"2015","SIRI GROUP INC","1","0","0","0","54","9265","PA","KING OF PRUSSIA","19406"
"2015","ASBURY AUTOMOTIVE GROUP INC","0","0","1","0","44","9375","GA","DULUTH","30097"
"2015","PLANT/ALLISON CORP","2","0","0","0","23","1050","CA","SAN FRANCISCO","94124"
"2015","JIASSEN CARE SERVICES INC DBA PRIN","0","1","0","0","62","2236","CA","CAMPBELL","95008"
"2015","MINDSPEED TECHNOLOGIES INC","2","0","0","0","33","6769","CA","NEWPORT BEACH","92660"
"2015","ENERGY RECOVERY INC","0","0","1","0","33","6867","CA","SAN LEANDRO","94577"
"2015","FTC ARCHITECTS PC","1","0","0","0","54","8772","TX","GEORGETOWN","78626"
"2015","PRECISION PERSONNEL INC","0","0","1","0","54","2172","FL","CLEARWATER","33755"
"2015","WINDHAM HENSONVILLE UNITED METHODI","1","0","0","0","81","6417","NY","WINDHAM","12496"
"2015","THE AGAPE CHRISTIAN CHURCH INC","0","1","0","0","81","6658","MD","LUTHERVILLE TIMONIUM","21093"
"2015","SPACE EXPLORATION TECHNOLOGIES COR","0","0","6","0","33","7671","CA","HAWTHORNE","90250"
"2015","YOUR AWARDS COMPANY INC","0","0","1","0","81","3040","NY","NEW YORK","10018"
"2015","ATRIUM STAFFING OF NEW JERSEY LLC","0","0","0","1","56","6629","NJ","ISELIN","08830"
"2015","TECHNICAL STRATEGIES INC","4","1","13","0","54","8930","VA","CHANTILLY","20151"
"2015","KIPP AUSTIN PUBLIC SCHOOLS","0","0","1","0","61","9602","TX","AUSTIN","78724"
"2015","ENCHOICE INC","0","0","1","0","54","9774","AZ","TEMPE","85284"
"2015","GULTON INCORPORATED","0","0","1","0","32","0196","NJ","SOUTH PLAINFIELD","07080"
"2015","AVENGER ENGINEERING","1","0","0","0","51","0863","GA","ALPHARETTA","30022"
"2015","AVENGER ENGINEERING","1","0","3","1","54","0863","GA","ALPHARETTA","30022"
"2015","SCARLET INFOTECH INC DBA EXPEDIEN","0","0","3","0","54","1832","TX","HOUSTON","77027"
"2015","HUDSON MERIDIAN CONSTRUCTION GR LL","1","0","0","0","23","4825","NY","NEW YORK","10006"
"2015","MADISON INTERNATIONAL REALTY LLC","1","0","0","0","52","6840","NY","NEW YORK","10022"
"2015","GRANDSTREAM NETWORKS INC","6","0","0","0","33","8916","MA","BOSTON","02215"
"2015","AFFINITY AUTOMATION LLC","1","0","0","0","54","2266","NC","CHARLOTTE","28269"
"2015","LENOX TERRACE PHARMACY INC","0","0","2","0","44","2659","NY","NEW YORK","10037"
"2015","MINISTRY SERVICES GROUP INC","0","0","0","1","61","4014","GA","ATLANTA","30319"
"2015","TRANSNATIONAL FOODS INC","0","0","2","0","42","4999","FL","MIAMI","33131"
"2015","TRANSCEND TECHNOLOGIES GRP INC DBA","0","0","1","0","54","5181","CA","RANCHO CORDOVA","95670"
"2015","ON ASSIGNMENT INC","1","0","0","0","54","0445","CA","CALABASAS","91301"
"2015","ON ASSIGNMENT STAFFING SVCS LLC D/","1","0","0","0","56","0445","CA","CALABASAS","91301"
"2015","ALERT LOGIC INC","1","0","3","0","54","3750","TX","HOUSTON","77056"
"2015","HURON CONSULTING SERVICES LLC","6","0","19","1","54","6453","IL","CHICAGO","60603"
"2015","HURON CONSULTING SVCS LLC","2","0","0","0","54","6453","IL","CHICAGO","60607"
"2015","BO TECHNOLOGY LLC","0","0","1","0","54","8332","NY","HUNTINGTON STATION","11746"
"2015","AC1 SUPPLY INC","1","0","0","0","44","9057","FL","MIAMI","33143"
"2015","VT SAN ANTONIO AEROSPACE INC","0","0","1","4","48","1036","TX","SAN ANTONIO","78216"
"2015","ADVANCED BOTANICAL CONSULTING & TE","1","0","1","0","54","4784","CA","TUSTIN","92780"
"2015","BIOSCALE INC","0","0","1","0","54","6008","MA","LEXINGTON","02421"
"2015","ROUTE 66 HOTELS LTD","0","0","1","0","72","6205","TX","AMARILLO","79109"
"2015","1ST ORIENTAL MARKET LLC","0","1","0","0","44","7242","FL","ORLANDO","32803"
"2015","1ST ORIENTAL MARKET LLC","1","0","0","0","44","7242","FL","ORLANDO","32808"
"2015","RARITAN PHARMACEUTICALS INC","0","0","1","0","32","0942","NJ","EAST BRUNSWICK","08816"
"2015","OCWEN FINANCIAL CORPORATION","2","0","1","0","52","1100","FL","WEST PALM BEACH","33409"
"2015","OCWEN MORTGAGE SERVICING INC","1","0","0","0","52","1100","VI","FREDERIKSTED","00840"
"2015","ALLEGIENT LLC","1","0","3","0","54","4862","IN","INDIANAPOLIS","46290"
"2015","AEROTEK SCIENTIFIC LLC","3","0","0","0","54","5775","MD","HANOVER","21076"
"2015","HIREZON CORP DBA INTERVIEW EXCHANG","1","0","1","0","54","8663","MA","WESTBOROUGH","01581"
"2015","SOCCER UNITED MARKETING","1","0","0","0","71","0336","NY","NEW YORK","10018"
"2015","CHARLES COUTINHO PROPERTY MGT INC","1","0","0","0","53","2501","NY","NEW YORK","10165"
"2015","PCCW GLOBAL INC","1","0","0","0","51","3873","VA","HERNDON","20170"
"2015","UNIQUE GIFTS & TS","0","0","2","0","45","6419","TN","GATLINBURG","37738"
"2015","CAMERON RESOURCES GROUP LLC","0","0","1","0","54","6674","FL","OVIEDO","32765"
"2015","MENDENHALL SMITH STUCTURAL ENGINEE","1","0","0","0","54","8539","NV","LAS VEGAS","89117"
"2015","LOGICBLOX INC","2","0","1","0","54","9318","GA","ATLANTA","30309"
"2015","INNOVATE INC","0","0","2","0","54","0529","VA","ALEXANDRIA","22310"
"2015","HERALPIN USA INC","0","0","1","0","42","4732","FL","MIAMI","33134"
"2015","AGAMATRIX INC","1","0","1","0","54","5345","NH","SALEM","03079"
"2015","SUNFLOWER ELECTRIC POWER CORP","0","0","1","0","22","7918","KS","HAYS","67601"
"2015","DIRAY TV INC","1","0","0","0","54","8351","CT","WILTON","06897"
"2015","RUSLAN CONSULTING INC","0","1","0","0","54","0616","NY","BROOKLYN","11204"
"2015","AIG MARKETS INC","1","0","0","0","52","1344","NY","NEW YORK","10038"
"2015","FLORIDA POWER & WELDING INTL LLC","0","0","1","0","42","2475","FL","PEMBROKE PINES","33028"
"2015","OXYGEN DEVELOPMENT LLC","0","0","1","0","32","5094","FL","MIAMI","33131"
"2015","NEXEO STAFFING LLC","0","0","1","0","53","0627","UT","WEST JORDAN","84084"
"2015","DELASOFT INC","7","1","44","0","54","2358","DE","NEW CASTLE","19720"
"2015","DELASOFT INC","2","1","6","0","54","2358","DE","NEWARK","19702"
"2015","DELASOFT INC","0","0","1","0","54","2358","DE","NEWARK","19720"
"2015","AMERICAN PUBLIC UNIVERSITY SYSTEM","0","0","2","0","61","4370","WV","CHARLES TOWN","25414"
"2015","JEFFERIES INVESTMENT ADVISERS LLC","1","0","4","0","52","4452","NY","NEW YORK","10022"
"2015","ANTON COLLINS MITCHELL LLP","0","0","1","0","54","4563","CO","DENVER","80203"
"2015","CLINICAL NEUROLOGY SPECIALISTS WES","1","0","0","0","62","6093","CA","LOS ANGELES","90048"
"2015","ARMO CONSULTANTS","8","1","8","0","54","7102","NJ","PARSIPPANY","07054"
"2015","INTEGRATED FLOW SOLUTIONS LLC","3","0","0","0","54","7249","TX","TYLER","75708"
"2015","THE COLUMBIA LEADERSHIP GROUP INC","0","0","1","0","54","1417","NY","NEW YORK","10075"
"2015","GARVER LLC","1","0","0","0","54","3400","AR","NORTH LITTLE ROCK","72118"
"2015","TRUMPF PHOTONICS INC","3","0","2","0","33","7824","NJ","CRANBURY","08512"
"2015","SHIVAM INFOTECH INC","4","0","6","1","54","0867","NJ","KENDALL PARK","08824"
"2015","ARTICULATE GLOBAL INC","0","0","1","0","51","2391","NY","NEW YORK CITY","10001"
"2015","SIGMA ENGINEERING INC","0","0","1","0","54","2498","IL","CHICAGO","60603"
"2015","MFXCHANGE US INC","0","0","1","0","54","8234","NJ","MORRISTOWN","07960"
"2015","INSYS THERAPEUTICS INC","1","0","2","0","32","9410","AZ","CHANDLER","85224"
"2015","INSYS THERAPEUTICS INC","0","0","1","0","32","9410","AZ","CHANDLER","85286"
"2015","SIDDHAYE CORP DBA MED PLZ PHARMACY","1","0","0","0","44","0064","CA","MORENO VALLEY","92663"
"2015","TIMEWELL INC","1","0","0","0","54","1004","FL","NAPLES","34104"
"2015","DATPRO INC","1","0","1","0","54","1399","CA","UNION CITY","94587"
"2015","SEJONG LLP","0","0","1","0","54","4454","NJ","FORT LEE","07024"
"2015","LAURELS MEDICAL SVCS","0","0","1","0","48","5772","CA","CARMICHAEL","95608"
"2015","ALLOVER MEDIA INC","1","0","0","0","54","5936","MN","PLYMOUTH","55446"
"2015","JPAY INC","2","0","0","0","54","6761","FL","HOLLYWOOD","33025"
"2015","JPAY INC","0","0","1","0","54","6761","FL","MIAMI","33181"
"2015","HANOVER DIRECT INC","1","0","0","0","31","7269","NJ","WEEHAWKEN","07086"
"2015","TRADEBE ENVIRONMENTAL SERVICES LLC","0","0","1","0","56","7921","IL","OAK BROOK","60523"
"2015","CVE TECHNOLOGY GROUP INC","1","0","1","0","81","8196","TX","PLANO","75074"
"2015","ENERGIZER BATTERY INC","1","0","0","0","31","8270","MO","SAINT LOUIS","63141"
"2015","RIVERWALK EDUCATION FOUNDATION INC","6","1","2","0","61","8906","TX","SAN ANTONIO","78209"
"2015","MEI WU ACOUSTICS","1","0","0","0","54","3673","CA","REDWOOD CITY","94065"
"2015","C DESIGN INC","0","0","1","0","54","6047","NC","CHARLOTTE","28208"
"2015","GOBAL SEVEN SERVICES GROUP CORP","0","0","1","0","54","8012","FL","MIAMI","33134"
"2015","PARKEON INC","0","0","1","0","33","8174","NJ","MOORESTOWN","08057"
"2015","BROOKLYN MONTESSORI LTD DBA MONTES","0","1","0","0","61","8179","NY","BROOKLYN","11238"
