Food product,Land use change,Animal Feed,Farm,Processing,Transport,Packging,Retail,Total_emissions,Eutrophying emissions per 1000kcal (gPO₄eq per 1000kcal),Eutrophying emissions per kilogram (gPO₄eq per kilogram),Eutrophying emissions per 100g protein (gPO₄eq per 100 grams protein),Freshwater withdrawals per 1000kcal (liters per 1000kcal),Freshwater withdrawals per 100g protein (liters per 100g protein),Freshwater withdrawals per kilogram (liters per kilogram),Greenhouse gas emissions per 1000kcal (kgCO₂eq per 1000kcal),Greenhouse gas emissions per 100g protein (kgCO₂eq per 100g protein),Land use per 1000kcal (m² per 1000kcal),Land use per kilogram (m² per kilogram),Land use per 100g protein (m² per 100g protein),Scarcity-weighted water use per kilogram (liters per kilogram),Scarcity-weighted water use per 100g protein (liters per 100g protein),Scarcity-weighted water use per 1000kcal (liters per 1000 kilocalories)
Beef (beef herd),16.3,1.9,39.4,1.3,0.3,0.2,0.2,59.599999999999994,110.4065934,301.41,151.1584754,531.5750916000001,727.7833501,1451.2,36.43956044,49.88966901,119.4908425,326.21,163.5957874,34732.5,17418.50552,12722.52747
Beef (dairy herd),0.9,2.5,15.7,1.1,0.4,0.3,0.2,21.099999999999998,133.8058608,365.29,185.0506586,994.2490842,1375.0253289999998,2714.3,12.1978022,16.86930091,15.83882784,43.24,21.904761899999997,119805.2,60691.590679999994,43884.68864
Lamb & Mutton,0.5,2.4,19.5,1.1,0.5,0.3,0.2,24.5,30.64037855,97.13,48.54072964,568.7066246,900.9495252,1802.8,12.52996845,19.85007496,116.659306,369.81,184.81259369999998,141925.0,70927.03648,44771.29338
Pig Meat,1.5,2.9,1.7,0.3,0.3,0.3,0.2,7.2,31.958159000000002,76.38,47.20642769,751.3807531,1109.888752,1795.8,5.150627615,7.60815822,7.263598326,17.36,10.72929543,66867.4,41327.19407,27977.99163
Poultry Meat,2.5,1.8,0.7,0.4,0.3,0.2,0.2,6.1000000000000005,26.32432432,48.7,28.11778291,356.7567568,381.0623557,660.0,5.335135135,5.698614319,6.605405405,12.22,7.055427252,14177.9,8185.8545030000005,7663.72973
Milk,0.5,0.2,1.5,0.1,0.1,0.1,0.3,2.8000000000000003,17.75,10.65,32.27272727,1047.0,1903.636364,628.2,5.25,9.5,14.91666667,8.95,27.12121212,19786.3,59958.48485,32977.16667
Cheese,4.5,2.3,13.1,0.7,0.1,0.2,0.3,21.2,25.41860465,98.37,44.55163043,1448.372093,2538.586957,5605.2,6.170542636,10.81521739,22.68475452,87.79,39.75996377,180850.6,81906.97464,46731.42119
Eggs,0.7,2.2,1.3,0.0,0.1,0.2,0.0,4.5,15.11111111,21.76,19.61067051,401.18055560000005,520.6380678,577.7,3.2430555560000003,4.2087238639999995,4.354166667,6.27,5.650684932000001,17982.7,16206.4708,12487.98611
Fish (farmed),0.5,0.8,3.6,0.0,0.1,0.1,0.0,5.1,131.35195530000001,235.12,103.1001973,2062.178771,1618.636264,3691.3,7.61452514,5.9767594829999995,4.6983240219999995,8.41,3.687787766,41572.2,18229.42337,23224.692740000002
Shrimps (farmed),0.2,2.5,8.4,0.0,0.2,0.3,0.2,11.8,,,,,,,,,,,,,,
