Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%,Year,Season
Joe Cannon,SJ ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1998,reg
Kevin Hartman,LA ,GK,32,32,2870,150,118,29,0.91,3/4,20,12,0,11,62.5,78.7,1999,reg
Mark Dougherty,CLB,GK,31,31,2745,152,106,35,1.13,4/4,18,12,0,6,58.1,69.7,1999,reg
Zach Thornton,CHI,GK,30,30,2633,137,99,32,1.07,2/3,17,12,0,7,56.7,72.3,1999,reg
Matt Jordan,DAL,GK,29,29,2584,172,133,31,1.07,0/2,17,11,0,11,58.6,77.3,1999,reg
Scott Garlick,TB ,GK,28,28,2471,193,152,36,1.29,1/3,14,13,0,5,50.0,78.8,1999,reg
Tom Presthus,DC ,GK,26,26,2227,129,88,34,1.31,0/1,17,8,0,3,65.4,68.2,1999,reg
Walter Zenga,NE ,GK,25,25,2125,140,87,45,1.8,1/2,5,13,0,2,20.0,62.1,1999,reg
Mike Ammann,MET,GK,24,24,2138,155,91,51,2.13,2/2,6,18,0,2,25.0,58.7,1999,reg
Joe Cannon,SJ ,GK,24,24,2160,131,96,32,1.33,2/6,14,10,0,4,58.3,73.3,1999,reg
Ian Feuer,COL,GK,19,19,1696,99,70,23,1.21,2/2,10,9,0,8,52.6,70.7,1999,reg
Jeff Causey,NE ,GK,16,7,755,49,32,8,1.14,0/0,7,7,0,1,43.8,65.3,1999,reg
Garth Lagerwey,MIA,GK,16,14,1306,107,77,27,1.93,0/0,7,7,0,3,43.8,72.0,1999,reg
Chris Snitko,KC ,GK,16,15,1395,95,66,26,1.73,1/1,4,10,0,2,25.0,69.5,1999,reg
Jeff Cassar,MIA,GK,15,15,1304,83,45,25,1.67,2/3,5,10,0,3,33.3,54.2,1999,reg
Marcus Hahnemann,COL,GK,13,13,1170,85,68,14,1.08,0/1,10,3,0,4,76.9,80.0,1999,reg
Mark Simpson,DC ,GK,9,6,653,48,37,9,1.5,1/1,6,1,0,1,66.7,77.1,1999,reg
Tim Howard,MET,GK,9,8,742,55,37,13,1.63,0/0,1,7,0,0,11.1,67.3,1999,reg
Tony Meola,KC ,GK,9,9,765,48,36,10,1.11,0/0,1,8,0,3,11.1,75.0,1999,reg
David Winner,KC ,GK,8,7,631,42,27,13,1.86,1/3,3,5,0,0,37.5,64.3,1999,reg
David Kramer,SJ ,GK,8,8,720,55,35,17,2.13,1/1,5,3,0,0,62.5,63.6,1999,reg
Mark Dodd,DAL,GK,6,3,296,23,18,4,1.33,0/0,2,2,0,1,33.3,78.3,1999,reg
Andy Kirk,TB ,GK,6,4,409,32,18,14,3.5,1/1,0,5,0,0,0.0,56.3,1999,reg
Greg Sutton,CHI,GK,3,2,247,19,14,4,2.0,0/0,1,2,0,0,33.3,73.7,1999,reg
Dusty Hudock,MIA,GK,3,3,270,19,12,7,2.33,0/0,1,2,0,0,33.3,63.2,1999,reg
Matt Napoleon,CLB,GK,2,1,135,9,5,4,4.0,0/0,1,1,0,0,50.0,55.6,1999,reg
Matt Reis,LA ,GK,1,0,10,1,1,0,0.0,0/0,0,0,0,0,0.0,100.0,1999,reg
Russell Payne,COL,GK,1,0,14,2,0,2,2.0,1/1,0,0,0,0,0.0,0.0,1999,reg
Cesar Delgado,KC ,GK,1,1,90,8,4,4,4.0,0/0,0,1,0,0,0.0,50.0,1999,reg
Kevin East,MET,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1999,reg
Randy Dedini,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1999,reg
Kori Hunter,MET,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1999,reg
Kurt Kelley,MET,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1999,reg
Anthony Latronica,NE ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1999,reg
Mike Littman,LA ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1999,reg
Bill May,LA ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1999,reg
Steve McAnulty,MET,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1999,reg
Mike McGinty,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1999,reg
Johnny Morton,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1999,reg
David Allred,TB ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1999,reg
Bill Andracki,MET,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1999,reg
Juergen Sommer,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1999,reg
Jon Busch,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1999,reg
Miguel Pineda,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1999,reg
Matt Nyman,TB ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1999,reg
J.J. Wozniak,SJ ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1999,reg
Scott Vallow,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1999,reg
Jim Welch,LA ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1999,reg
Scott Garlick,TB ,GK,32,32,2934,247,184,50,1.56,2/2,16,12,4,6,50.0,74.5,2000,reg
Tony Meola,KC ,GK,31,31,2826,162,129,29,0.94,3/6,15,7,9,16,48.4,79.6,2000,reg
Matt Jordan,DAL,GK,31,31,2830,188,124,53,1.71,4/5,13,14,4,7,41.9,66.0,2000,reg
Joe Cannon,SJ ,GK,26,26,2420,181,137,40,1.54,3/3,6,13,7,7,23.1,75.7,2000,reg
Kevin Hartman,LA ,GK,26,26,2422,126,91,27,1.04,2/4,12,7,7,7,46.2,72.2,2000,reg
Mark Dougherty,CLB,GK,25,25,2269,170,111,46,1.84,6/6,10,12,3,3,40.0,65.3,2000,reg
Zach Thornton,CHI,GK,25,25,2319,127,91,33,1.32,3/3,15,4,6,5,60.0,71.7,2000,reg
Mike Ammann,MET,GK,22,22,1960,162,108,35,1.59,5/7,11,9,1,2,50.0,66.7,2000,reg
Jeff Causey,NE ,GK,22,21,1975,110,67,34,1.62,1/5,8,8,5,3,36.4,60.9,2000,reg
Nick Rimando,MIA,GK,22,22,2002,150,102,41,1.86,3/5,10,11,1,2,45.5,68.0,2000,reg
Tom Presthus,DC ,GK,20,20,1741,127,78,42,2.1,3/3,4,13,2,2,20.0,61.4,2000,reg
David Kramer,COL,GK,20,19,1804,125,79,33,1.74,1/1,9,8,3,4,45.0,63.2,2000,reg
Adin Brown,COL,GK,13,13,1146,102,72,26,2.0,2/3,4,7,1,2,30.8,70.6,2000,reg
Mark Simpson,DC ,GK,13,12,1179,59,38,21,1.75,3/3,4,5,4,1,30.8,64.4,2000,reg
Juergen Sommer,NE ,GK,11,11,977,62,40,15,1.36,1/1,5,5,1,2,45.5,64.5,2000,reg
Jeff Cassar,MIA,GK,9,9,773,41,28,10,1.11,0/1,2,2,4,2,22.2,68.3,2000,reg
Tim Howard,MET,GK,9,8,794,63,40,14,1.75,1/1,5,2,2,4,55.6,63.5,2000,reg
Matt Napoleon,CLB,GK,8,7,671,38,26,12,1.71,0/1,1,4,2,1,12.5,68.4,2000,reg
Jon Conway,SJ ,GK,6,6,550,43,31,10,1.67,1/1,1,4,1,2,16.7,72.1,2000,reg
Matt Reis,LA ,GK,6,6,559,31,21,10,1.67,1/2,2,3,1,1,33.3,67.7,2000,reg
Chris Snitko,CHI,GK,5,5,450,31,20,10,2.0,0/0,2,3,0,1,40.0,64.5,2000,reg
Garth Lagerwey,MIA,GK,2,1,167,17,11,5,5.0,1/1,0,2,0,0,0.0,64.7,2000,reg
Greg Sutton,CHI,GK,2,2,180,21,12,8,4.0,0/0,0,2,0,0,0.0,57.1,2000,reg
Paul Grafer,MET,GK,2,2,180,17,12,5,2.5,1/1,1,1,0,0,50.0,70.6,2000,reg
Paul Marcoullier,DC ,GK,1,0,2,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2000,reg
Russell Payne,LA ,GK,1,0,8,5,1,2,2.0,1/1,0,0,0,0,0.0,20.0,2000,reg
Johann Noetzel,DAL,GK,1,1,90,8,7,1,1.0,0/0,1,0,0,0,100.0,87.5,2000,reg
Bo Oshoniyi,KC ,GK,1,1,90,3,2,0,0.0,0/0,1,0,0,1,100.0,66.7,2000,reg
Preston Burpo,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2000,reg
Chuck Browder,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2000,reg
Scott Budnick,NE ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2000,reg
Jon Busch,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2000,reg
Matt Nyman,TB ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2000,reg
Anthony Latronica,MET,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2000,reg
Matt Nelson,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2000,reg
Andy Kirk,TB ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2000,reg
Greg Connel,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2000,reg
Rich Cullen,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2000,reg
Randy Dedini,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2000,reg
Tom Tate,TB ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2000,reg
Scott Vallow,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2000,reg
Peter Van Deven,LA ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2000,reg
David Winner,NE ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2000,reg
Zach Thornton,CHI,GK,27,27,2496,145,111,30,1.11,3/3,16,6,5,9,59.3,76.6,2001,reg
Tim Howard,MET,GK,26,26,2370,190,146,35,1.35,3/3,13,10,3,4,50.0,76.8,2001,reg
Matt Jordan,DAL,GK,26,26,2388,138,91,45,1.73,2/6,10,11,5,9,38.5,65.9,2001,reg
Scott Garlick,COL,GK,26,26,2400,205,138,56,2.15,6/6,6,15,5,1,23.1,67.3,2001,reg
Nick Rimando,MIA,GK,25,25,2300,155,116,33,1.32,3/5,15,5,5,5,60.0,74.8,2001,reg
Joe Cannon,SJ ,GK,25,25,2306,134,101,28,1.12,3/4,13,6,6,7,52.0,75.4,2001,reg
Tom Presthus,CLB,GK,25,25,2309,178,136,35,1.4,2/3,12,7,6,5,48.0,76.4,2001,reg
Adin Brown,COL,GK,22,22,2018,179,118,51,2.32,4/5,3,16,3,3,13.6,65.9,2001,reg
Mike Ammann,DC ,GK,19,19,1739,111,73,38,2.0,3/5,3,14,2,1,15.8,65.8,2001,reg
Tony Meola,KC ,GK,17,17,1534,111,80,28,1.65,2/3,7,8,2,4,41.2,72.1,2001,reg
Matt Reis,LA ,GK,16,15,1405,76,52,22,1.47,2/2,8,3,4,6,50.0,68.4,2001,reg
Bo Oshoniyi,KC ,GK,11,10,938,74,48,25,2.5,0/0,4,5,1,3,36.4,64.9,2001,reg
Jeff Causey,NE ,GK,11,10,1003,91,58,23,2.3,1/1,3,5,3,1,27.3,63.7,2001,reg
Kevin Hartman,LA ,GK,11,11,1007,66,48,14,1.27,0/1,6,4,1,4,54.5,72.7,2001,reg
Juergen Sommer,NE ,GK,10,10,911,68,50,17,1.7,0/1,3,6,1,1,30.0,73.5,2001,reg
Jose Fernandez,NE ,GK,7,7,578,45,30,12,1.71,1/2,1,3,2,1,14.3,66.7,2001,reg
Mark Simpson,DC ,GK,7,7,630,44,30,12,1.71,1/1,5,2,0,1,71.4,68.2,2001,reg
David Kramer,COL,GK,5,5,466,34,25,8,1.6,1/1,0,3,2,0,0.0,73.5,2001,reg
Mark Dougherty,CLB,GK,2,1,100,6,5,1,1.0,0/0,1,0,0,0,50.0,83.3,2001,reg
Chris Snitko,DAL,GK,1,0,24,2,0,2,2.0,0/0,0,0,0,0,0.0,0.0,2001,reg
Jon Conway,SJ ,GK,1,1,90,5,3,1,1.0,0/0,0,1,0,0,0.0,60.0,2001,reg
Jeff Cassar,MIA,GK,1,1,90,9,5,3,3.0,0/0,1,0,0,0,100.0,55.6,2001,reg
Henry Ring,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2001,reg
Taly Goode,KC ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2001,reg
D.J. Countess,MET,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2001,reg
Paul Grafer,MET,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2001,reg
Rich Cullen,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2001,reg
Randy Dedini,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2001,reg
Alex Deegan,DC ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2001,reg
Anthony Latronica,KC ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2001,reg
Jon Lowery,TB ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2001,reg
Dan Moss,KC ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2001,reg
Matt Napoleon,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2001,reg
Matt Nyman,TB ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2001,reg
Ronnie Pascale,DC ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2001,reg
Eric Pogue,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2001,reg
Dan Popik,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2001,reg
Adam Throop,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2001,reg
