,Issue Datetime,Summons Number,Violation Code,Violation Location,Violation Precinct,House Number,Street Name,Intersecting Street,City & State,Ticket Cost,Ticket Type,Zip Code,Lat,Long
32,2019-01-14 14:13:00,8725657938,50,90,90,E,Middleton St,0ft S/of Wallabout S,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11205.0,40.6998599,-73.95597939999999
33,2019-01-12 12:09:00,8633556844,50,88,88,W,Classon Ave,0ft S/of Willoughby,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11205.0,40.6924189,-73.9607359
34,2019-01-14 19:19:00,8666704019,50,88,88,S,Atlantic Ave,0ft W/of Cumberland,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11217.0,40.6827259,-73.971817
35,2019-01-12 07:30:00,8715522659,50,83,83,S,Central Ave,0ft W/of Greene Ave,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11221.0,40.696015,-73.92152
36,2019-01-11 14:40:00,8650344689,50,90,90,N,Harrison Ave,0ft W/of Hewes St,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11211.0,40.706109,-73.953794
37,2019-01-12 10:13:00,8676196837,50,88,88,N,Dekalb Ave,0ft W/of Hudson Ave,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11201.0,40.6899121,-73.98043
38,2019-01-11 16:11:00,8611202818,50,90,90,N,Hewes St,0ft W/of Lee Ave,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11211.0,40.703639,-73.957616
39,2019-01-11 16:38:00,8539023830,50,90,90,N,S 9th St,0ft W/of Rodney St,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11211.0,40.7078865,-73.9568116
40,2019-01-11 06:50:00,8725321298,50,81,81,S,Kosciusko St,0ft W/of Stuyvesant,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11221.0,40.6926177,-73.93398169999999
41,2019-01-11 06:23:00,8535587147,50,90,90,N,Lorimer St,0ft W/of Union Ave,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11206.0,40.70256639999999,-73.9502455
42,2019-01-11 15:15:00,8539023775,50,90,90,N,Lorimer St,0ft W/of Union Ave,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11206.0,40.70256639999999,-73.9502455
43,2019-01-11 20:27:00,8714727432,46,94,94,S,N 12th St,100ft E/of Bedford A,"Brooklyn, NY",115.0,Double parking,11249.0,40.722293,-73.956682
44,2019-01-11 06:42:00,8689861660,19,79,79,N,Gates Ave,100ft E/of Classon A,"Brooklyn, NY",115.0,"Bus Stop: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",11221.0,40.6879962,-73.9369645
45,2019-01-11 17:07:00,8650344720,71,90,90,N,S 4th St,100ft E/of Marcy Ave,"Brooklyn, NY",65.0,Standing or parking a vehicle without showing a current New York inspection sticker.,11211.0,40.709758,-73.95705550000001
46,2019-01-12 04:35:00,8725067217,21,88,88,N,Park Ave,100ft E/of Navy St,"Brooklyn, NY",45.0,"Street Cleaning: No parking where parking is not allowed by sign, street marking or traffic control device.",11201.0,40.6965326,-73.9803407
47,2019-01-14 12:15:00,8702772929,70,94,94,S,Maspeth Ave,100ft E/of Olive St,"Brooklyn, NY",65.0,Standing or parking a vehicle without showing a current New York registration sticker.,11211.0,40.7160683,-73.9390208
48,2019-01-14 12:14:00,8702772917,71,94,94,S,Maspeth Ave,100ft E/of Olive St,"Brooklyn, NY",65.0,Standing or parking a vehicle without showing a current New York inspection sticker.,11211.0,40.7160683,-73.9390208
49,2019-01-12 10:51:00,8722756747,71,94,94,W,Lorimer St,100ft N/of Driggs Av,"Brooklyn, NY",65.0,Standing or parking a vehicle without showing a current New York inspection sticker.,11222.0,40.7217156,-73.9506335
50,2019-01-11 08:31:00,8725066821,21,81,81,E,Malcolm X Blvd,100ft N/of Marion St,"Brooklyn, NY",45.0,"Street Cleaning: No parking where parking is not allowed by sign, street marking or traffic control device.",11233.0,40.6797423,-73.9286747
51,2019-01-12 07:17:00,8725067400,71,90,90,E,Borinquen Pl,100ft N/of S 1st St,"Brooklyn, NY",65.0,Standing or parking a vehicle without showing a current New York inspection sticker.,11211.0,40.71079539999999,-73.9528061
52,2019-01-12 07:15:00,8725067394,10,90,90,E,Borinquen Pl,100ft N/of S 1st St,"Brooklyn, NY",115.0,"Stopping, standing or parking where a sign, street marking, or traffic control device does not allow stopping.",11211.0,40.71079539999999,-73.9528061
53,2019-01-11 16:22:00,8702772103,14,90,90,W,Bushwick Ave,100ft N/of Stagg St,"Brooklyn, NY",115.0,"General No Standing: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",11206.0,40.7098077,-73.9401895
54,2019-01-14 13:14:00,8638492716,40,88,88,W,Fleet Pl,100ft N/of Willoughb,"Brooklyn, NY",115.0,"Stopping, standing or parking closer than 15 feet of a fire hydrant. ",11201.0,40.6920254,-73.9817951
55,2019-01-12 10:35:00,8722756723,40,94,94,W,N 12th St,100ft S/of Bedford A,"Brooklyn, NY",115.0,"Stopping, standing or parking closer than 15 feet of a fire hydrant. ",11249.0,40.722293,-73.956682
56,2019-01-11 08:33:00,8725066833,21,81,81,E,Malcolm X Blvd,100ft S/of Chauncey,"Brooklyn, NY",45.0,"Street Cleaning: No parking where parking is not allowed by sign, street marking or traffic control device.",11233.0,40.68050059999999,-73.9285708
57,2019-01-14 10:16:00,8708936444,14,88,88,W,Hudson Ave,100ft S/of Dekalb Av,"Brooklyn, NY",115.0,"General No Standing: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",11201.0,40.6899121,-73.98043
58,2019-01-11 16:20:00,8633556765,16,79,79,E,Warsoff Pl,100ft S/of Flushing,"Brooklyn, NY",95.0,"Truck Loading/Unloading: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",11205.0,40.6992936,-73.95429
59,2019-01-13 07:59:00,8725067655,40,83,83,E,Knickerbocker Ave,100ft S/of Madison S,"Brooklyn, NY",115.0,"Stopping, standing or parking closer than 15 feet of a fire hydrant. ",11221.0,40.69554100000001,-73.91260799999999
60,2019-01-14 14:09:00,8717800778,17,79,79,E,Vermont St,100ft S/of Pitkin Av,"Brooklyn, NY",95.0,"Authorized Vehicles Only: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",11207.0,40.6721775,-73.8939626
61,2019-01-14 14:08:00,8717800766,46,79,79,E,Vermont St,100ft S/of Pitkin Av,"Brooklyn, NY",115.0,Double parking,11207.0,40.6721775,-73.8939626
62,2019-01-14 14:04:00,8717800754,17,79,79,E,Vermont St,100ft S/of Pitkin Av,"Brooklyn, NY",95.0,"Authorized Vehicles Only: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",11207.0,40.6721775,-73.8939626
63,2019-01-12 08:13:00,8676196771,21,88,88,W,Ashland Pl,100ft S/of Willoughb,"Brooklyn, NY",45.0,"Street Cleaning: No parking where parking is not allowed by sign, street marking or traffic control device.",11201.0,40.6919144,-73.9788866
64,2019-01-14 08:44:00,8711163008,21,79,79,W,Sanford St,100ft S/of Willoughb,"Brooklyn, NY",45.0,"Street Cleaning: No parking where parking is not allowed by sign, street marking or traffic control device.",11205.0,40.6933059,-73.95310429999999
65,2019-01-14 11:56:00,8724655727,21,94,94,S,Meeker Ave,100ft W/of Manhattan,"Brooklyn, NY",45.0,"Street Cleaning: No parking where parking is not allowed by sign, street marking or traffic control device.",11211.0,40.7188081,-73.9468076
66,2019-01-13 12:14:00,8611690760,71,88,88,S,Park Ave,100ft W/of N Elliott,"Brooklyn, NY",65.0,Standing or parking a vehicle without showing a current New York inspection sticker.,11201.0,40.6973777,-73.9789631
67,2019-01-11 22:32:00,8711273501,14,94,94,S,N 12th St,10ft E/of Bedford Av,"Brooklyn, NY",115.0,"General No Standing: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",11211.0,40.7205975,-73.9547554
68,2019-01-13 16:23:00,8708936250,14,94,94,S,N 8th St,10ft E/of Bedford Av,"Brooklyn, NY",115.0,"General No Standing: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",11211.0,40.7183907,-73.9571302
69,2019-01-12 12:43:00,8708935610,14,94,94,N,Metropolitan Ave,10ft E/of Berry St,"Brooklyn, NY",115.0,"General No Standing: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",11249.0,40.7159287,-73.9619153
70,2019-01-12 04:52:00,8532935989,14,83,83,N,Evergreen Ave,10ft E/of Cedar St,"Brooklyn, NY",115.0,"General No Standing: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",11221.0,40.6966697,-73.9282341
71,2019-01-14 14:33:00,8539023957,14,94,94,N,N 9th St,10ft E/of Driggs Ave,"Brooklyn, NY",115.0,"General No Standing: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",11211.0,40.71814,-73.95525099999999
72,2019-01-11 21:50:00,8714727481,14,94,94,N,Green St,10ft E/of Franklin S,"Brooklyn, NY",115.0,"General No Standing: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",11222.0,40.733426,-73.958175
73,2019-01-11 10:00:00,8723262965,21,90,90,S,Seigel St,10ft E/of Humboldt S,"Brooklyn, NY",45.0,"Street Cleaning: No parking where parking is not allowed by sign, street marking or traffic control device.",11206.0,40.7046358,-73.9410405
74,2019-01-14 16:12:00,8692595251,14,90,90,N,Clymer St,10ft E/of Kent Ave,"Brooklyn, NY",115.0,"General No Standing: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",11249.0,40.7042618,-73.96718609999999
75,2019-01-14 07:38:00,8579222084,14,90,90,N,Division Ave,10ft E/of Kent Ave,"Brooklyn, NY",115.0,"General No Standing: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",11249.0,40.7068386,-73.9683629
76,2019-01-14 14:29:00,8723264226,71,83,83,S,Himrod St,10ft E/of Knickerboc,"Brooklyn, NY",65.0,Standing or parking a vehicle without showing a current New York inspection sticker.,11237.0,40.69982,-73.920127
77,2019-01-12 14:11:00,8724655338,71,90,90,S,Moore St,10ft E/of Leonard St,"Brooklyn, NY",65.0,Standing or parking a vehicle without showing a current New York inspection sticker.,11206.0,40.703399,-73.945923
78,2019-01-11 10:11:00,8723263003,21,90,90,S,Varet St,10ft E/of Manhattan,"Brooklyn, NY",45.0,"Street Cleaning: No parking where parking is not allowed by sign, street marking or traffic control device.",11206.0,40.702895,-73.944217
79,2019-01-13 12:08:00,8611690758,71,88,88,S,Park Ave,10ft E/of N Portland,"Brooklyn, NY",65.0,Standing or parking a vehicle without showing a current New York inspection sticker.,11201.0,40.6973777,-73.9789631
80,2019-01-12 07:59:00,8636960885,68,90,90,S,Meeker Ave,10ft E/of Withers St,"Brooklyn, NY",65.0,Not parking as marked on a posted sign,11211.0,40.7169849,-73.9489538
81,2019-01-11 15:14:00,8538174174,16,94,94,S,N 5th St,10ft E/of Wythe Ave,"Brooklyn, NY",95.0,"Truck Loading/Unloading: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",11249.0,40.718417,-73.96162
82,2019-01-11 11:12:00,8723263076,21,90,90,E,Throop Ave,10ft N/of Bartlett S,"Brooklyn, NY",45.0,"Street Cleaning: No parking where parking is not allowed by sign, street marking or traffic control device.",11206.0,40.701655,-73.945645
83,2019-01-14 11:14:00,8695487453,21,90,90,W,Throop Ave,10ft N/of Bartlett S,"Brooklyn, NY",45.0,"Street Cleaning: No parking where parking is not allowed by sign, street marking or traffic control device.",11206.0,40.701655,-73.945645
84,2019-01-14 10:11:00,8715574520,14,83,83,E,Central Ave,10ft N/of Harman St,"Brooklyn, NY",115.0,"General No Standing: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",11221.0,40.6964382,-73.9222552
85,2019-01-11 12:51:00,8702771913,14,90,90,E,Bogart St,10ft N/of Ingraham S,"Brooklyn, NY",115.0,"General No Standing: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",11206.0,40.7067968,-73.9337281
86,2019-01-11 11:08:00,8690612865,70,81,81,W,Malcolm X Blvd,10ft N/of Lexington,"Brooklyn, NY",65.0,Standing or parking a vehicle without showing a current New York registration sticker.,11221.0,40.6900255,-73.9304732
87,2019-01-12 10:15:00,8722756668,38,94,94,E,Bedford Ave,10ft N/of N 4th St,"Brooklyn, NY",35.0,Parking Meter -- Failing to show a receipt or tag in the windshield.,11211.0,40.716172,-73.95951099999999
88,2019-01-12 08:12:00,8638199016,21,94,94,E,Bedford Ave,10ft N/of N 4th St,"Brooklyn, NY",45.0,"Street Cleaning: No parking where parking is not allowed by sign, street marking or traffic control device.",11211.0,40.716172,-73.95951099999999
89,2019-01-11 21:13:00,8711273458,14,94,94,E,Kent Ave,10ft N/of N 8th St,"Brooklyn, NY",115.0,"General No Standing: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",11249.0,40.7208581,-73.96110900000001
90,2019-01-14 15:06:00,8715574672,14,81,81,W,Broadway,10ft N/of Quincy St,"Brooklyn, NY",115.0,"General No Standing: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",11221.0,40.69012300000001,-73.923169
91,2019-01-14 13:07:00,8676197404,16,90,90,E,Driggs Ave,10ft N/of S 8th St,"Brooklyn, NY",95.0,"Truck Loading/Unloading: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",11211.0,40.7093394,-73.9623952
92,2019-01-11 23:03:00,8714727547,77,90,90,E,Wythe Ave,10ft N/of S 9th St,"Brooklyn, NY",45.0,"Parking a bus, unless allowed by signs. ",11249.0,40.7090537,-73.9671275
93,2019-01-14 15:00:00,8724655843,14,94,94,E,McGuinness Blvd,10ft S/of Broome St,"Brooklyn, NY",115.0,"General No Standing: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",11222.0,40.7222249,-73.9463932
94,2019-01-11 23:14:00,8714727559,77,90,90,E,Wythe Ave,10ft S/of Clymer St,"Brooklyn, NY",45.0,"Parking a bus, unless allowed by signs. ",11249.0,40.7048373,-73.9662986
95,2019-01-11 15:48:00,8581008185,20,88,88,W,Ashland Pl,10ft S/of Lafayette,"Brooklyn, NY",60.0,"General No Parking: No parking where parking is not allowed by sign, street marking or traffic control device.",11217.0,40.6868179,-73.97822339999999
96,2019-01-13 10:57:00,8702772115,20,88,88,W,Ashland Pl,10ft S/of Lafayette,"Brooklyn, NY",60.0,"General No Parking: No parking where parking is not allowed by sign, street marking or traffic control device.",11217.0,40.6868179,-73.97822339999999
97,2019-01-11 11:18:00,8724654978,21,90,90,E,Wallabout St,10ft S/of Lee Ave,"Brooklyn, NY",45.0,"Street Cleaning: No parking where parking is not allowed by sign, street marking or traffic control device.",11205.0,40.7000911,-73.9538212
98,2019-01-14 10:58:00,8728704502,40,79,79,E,Marcy Ave,10ft S/of Madison St,"Brooklyn, NY",115.0,"Stopping, standing or parking closer than 15 feet of a fire hydrant. ",11216.0,40.685113,-73.947165
99,2019-01-11 11:21:00,8705972139,14,88,88,E,St Edwards St,10ft S/of Myrtle Ave,"Brooklyn, NY",115.0,"General No Standing: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",11205.0,40.6934392,-73.97783199999999
100,2019-01-14 13:54:00,8611690930,20,94,94,E,Driggs Ave,10ft S/of N 12th St,"Brooklyn, NY",60.0,"General No Parking: No parking where parking is not allowed by sign, street marking or traffic control device.",11211.0,40.7197924,-73.9534724
101,2019-01-14 13:45:00,8693327136,14,83,83,N,Halsey St,10ft W/of Broadway,"Brooklyn, NY",115.0,"General No Standing: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",11233.0,40.685645,-73.91529
102,2019-01-14 15:50:00,8643339659,20,79,79,S,Stockton St,10ft W/of Broadway,"Brooklyn, NY",60.0,"General No Parking: No parking where parking is not allowed by sign, street marking or traffic control device.",11206.0,40.6976084,-73.93637129999999
103,2019-01-11 16:50:00,8581008197,14,90,90,N,S 4th St,10ft W/of Rodney St,"Brooklyn, NY",115.0,"General No Standing: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",11211.0,40.7093346,-73.9558934
104,2019-01-11 11:28:00,8723263155,21,90,90,S,Wallabout St,10ft W/of Throop Ave,"Brooklyn, NY",45.0,"Street Cleaning: No parking where parking is not allowed by sign, street marking or traffic control device.",11206.0,40.702784,-73.946907
105,2019-01-14 18:19:00,8702773260,74,94,94,N,Greenpoint Ave,10ft W/of West St,"Brooklyn, NY",65.0,Standing or parking a vehicle without properly showing its current plates on the outside of the vehicle.,11222.0,40.7297108,-73.9592533
106,2019-01-11 08:58:00,8723262849,21,90,90,E,Humboldt St,110ft S/of Maujer St,"Brooklyn, NY",45.0,"Street Cleaning: No parking where parking is not allowed by sign, street marking or traffic control device.",11206.0,40.71106,-73.942105
107,2019-01-12 14:17:00,8724655340,71,90,90,W,Leonard St,110ft S/of Montrose,"Brooklyn, NY",65.0,Standing or parking a vehicle without showing a current New York inspection sticker.,11206.0,40.7070179,-73.9464753
108,2019-01-14 14:55:00,8692649960,51,90,90,S,Scholes St,110ft W/of Morgan Av,"Brooklyn, NY",115.0,"Stopping, standing or parking on a sidewalk.",11206.0,40.709988,-73.9332972
109,2019-01-12 08:12:00,8676196760,21,88,88,W,Ashland Pl,120ft S/of Willoughb,"Brooklyn, NY",45.0,"Street Cleaning: No parking where parking is not allowed by sign, street marking or traffic control device.",11201.0,40.6919144,-73.9788866
110,2019-01-14 08:45:00,8711163010,21,79,79,W,Sanford St,120ft S/of Willoughb,"Brooklyn, NY",45.0,"Street Cleaning: No parking where parking is not allowed by sign, street marking or traffic control device.",11205.0,40.6933059,-73.95310429999999
111,2019-01-14 20:50:00,8714729039,82,90,90,S,Williamsburg St East,120ft W/of Bedford A,"Brooklyn, NY",115.0,"Standing or parking a Commercial Vehicle unless all seats, except the front seats, and rear seat equipment removed. ",11249.0,40.7158396,-73.9601398
112,2019-01-14 20:48:00,8714729027,20,90,90,N,Williamsburg St East,120ft W/of Bedford A,"Brooklyn, NY",60.0,"General No Parking: No parking where parking is not allowed by sign, street marking or traffic control device.",11249.0,40.7158396,-73.9601398
113,2019-01-14 11:57:00,8724655739,21,94,94,S,Meeker Ave,120ft W/of Manhattan,"Brooklyn, NY",45.0,"Street Cleaning: No parking where parking is not allowed by sign, street marking or traffic control device.",11211.0,40.7188081,-73.9468076
114,2019-01-12 11:23:00,8579656242,16,94,94,S,Russell St,120ft W/of Norman Av,"Brooklyn, NY",95.0,"Truck Loading/Unloading: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",11222.0,40.727485,-73.944806
115,2019-01-11 13:23:00,8610241294,20,88,88,N,Myrtle Ave,120ft W/of Washingto,"Brooklyn, NY",60.0,"General No Parking: No parking where parking is not allowed by sign, street marking or traffic control device.",11205.0,40.6934123,-73.9672927
116,2019-01-11 20:36:00,8714727444,14,94,94,S,N 11th St,125ft E/of Wythe Ave,"Brooklyn, NY",115.0,"General No Standing: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",11249.0,40.7217211,-73.95806759999999
117,2019-01-12 20:12:00,8714728060,14,94,94,S,N 11th St,125ft E/of Wythe Ave,"Brooklyn, NY",115.0,"General No Standing: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",11249.0,40.7217211,-73.95806759999999
